runDir,experimentName,slice,arm,topology,rest,scoringMode,startHourUtc,status,stateStatus,runs,llm_calls,http_errors,expected_attempts,attempt_accounting_delta,reinterpret_events,identity_rewrite_fallbacks,audit_eligible_events,scored_events,unscored_eligible_events,auditor_request_failures_derived,rewrite_caught_failures,auditor_caught_failed_events,logged_http_429,logged_other_http,logged_timeouts,logged_transport_errors,parse_fallbacks,schema_anomalies,aborted_selected_runs,raw_archive_state_drift,log_section_found
T2c_H_echo_chamber_biodiversity_food_security_2026-09-19_04-43-08,T2c_H_echo_chamber_biodiversity_food_security,T2c_H,H,echo_chamber,biodiversity_food_security,continuous,2026-09-19T04:00Z,complete,complete,1,1076,0,1076,0,399,0,677,677,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_echo_chamber_climate_action_advocate_2026-09-19_04-30-38,T2c_H_echo_chamber_climate_action_advocate,T2c_H,H,echo_chamber,climate_action_advocate,continuous,2026-09-19T04:00Z,complete,complete,1,38,637,675,0,248,230,427,20,407,,230,407,637,0,0,0,0,0,0,0,1
T2c_H_echo_chamber_climate_justice_youth_2026-09-19_04-31-18,T2c_H_echo_chamber_climate_justice_youth,T2c_H,H,echo_chamber,climate_justice_youth,continuous,2026-09-19T04:00Z,complete,complete,1,929,355,1284,0,494,355,790,790,0,,355,0,355,0,0,0,0,0,0,0,1
T2c_H_echo_chamber_climate_scientist_2026-09-19_04-45-38,T2c_H_echo_chamber_climate_scientist,T2c_H,H,echo_chamber,climate_scientist,continuous,2026-09-19T04:00Z,complete,complete,1,1122,0,1122,0,419,0,703,703,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_echo_chamber_conspiracy_believer_2026-09-19_04-13-27,T2c_H_echo_chamber_conspiracy_believer,T2c_H,H,echo_chamber,conspiracy_believer,continuous,2026-09-19T04:00Z,complete,complete,1,564,705,1269,0,469,21,800,95,705,,0,705,705,0,0,0,0,0,0,0,1
T2c_H_echo_chamber_conspiracy_climate_piggyback_2026-09-19_04-13-27,T2c_H_echo_chamber_conspiracy_climate_piggyback,T2c_H,H,echo_chamber,conspiracy_climate_piggyback,continuous,2026-09-19T04:00Z,complete,complete,1,480,754,1234,0,461,20,773,38,735,,19,735,754,0,0,0,0,0,0,0,1
T2c_H_echo_chamber_conspiracy_depopulation_2026-09-19_04-13-27,T2c_H_echo_chamber_conspiracy_depopulation,T2c_H,H,echo_chamber,conspiracy_depopulation,continuous,2026-09-19T04:00Z,complete,complete,1,515,792,1307,0,499,30,808,44,764,,28,764,792,0,0,0,0,0,0,0,1
T2c_H_echo_chamber_conspiracy_haarp_weather_2026-09-19_04-13-27,T2c_H_echo_chamber_conspiracy_haarp_weather,T2c_H,H,echo_chamber,conspiracy_haarp_weather,continuous,2026-09-19T04:00Z,complete,complete,1,673,416,1089,0,403,0,686,270,416,,0,416,416,0,0,0,0,0,0,0,1
T2c_H_echo_chamber_environmental_concern_2026-09-19_04-31-37,T2c_H_echo_chamber_environmental_concern,T2c_H,H,echo_chamber,environmental_concern,continuous,2026-09-19T04:00Z,complete,complete,1,867,330,1197,0,448,330,749,749,0,,330,0,330,0,0,0,0,0,0,0,1
T2c_H_echo_chamber_mitigation_first_policy_2026-09-19_04-31-24,T2c_H_echo_chamber_mitigation_first_policy,T2c_H,H,echo_chamber,mitigation_first_policy,continuous,2026-09-19T04:00Z,complete,complete,1,818,397,1215,0,450,397,765,765,0,,397,0,397,0,0,0,0,0,0,0,1
T2c_H_echo_chamber_ozone_stratosphere_specialist_2026-09-19_04-32-32,T2c_H_echo_chamber_ozone_stratosphere_specialist,T2c_H,H,echo_chamber,ozone_stratosphere_specialist,continuous,2026-09-19T04:00Z,complete,complete,1,1053,101,1154,0,444,101,710,710,0,,101,0,101,0,0,0,0,0,0,0,1
T2c_H_echo_chamber_science_journalist_2026-09-19_04-45-58,T2c_H_echo_chamber_science_journalist,T2c_H,H,echo_chamber,science_journalist,continuous,2026-09-19T04:00Z,complete,complete,1,880,0,880,0,330,0,550,550,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_hierarchical_biodiversity_food_security_2026-09-19_04-31-12,T2c_H_hierarchical_biodiversity_food_security,T2c_H,H,hierarchical,biodiversity_food_security,continuous,2026-09-19T04:00Z,complete,complete,1,45,523,568,0,215,195,353,25,328,,195,328,523,0,0,0,0,0,0,0,1
