slice,topology,runs,llm_calls,http_errors,expected_attempts,reinterpret_events,identity_rewrite_fallbacks,audit_eligible_events,scored_events,unscored_eligible_events,rewrite_caught_failures,auditor_caught_failed_events,parse_fallbacks,aborted_selected_runs,runs_with_http_errors,http_error_rate,audit_success_rate_events
T2c_H,echo_chamber,12,9015,4487,13502,5064,1484,8438,5411,3027,1460,3027,0,0,9,0.3323211376092431,0.641265702773169
T2c_H,hierarchical,12,2628,3893,6521,2442,1353,4079,1511,2568,1325,2568,0,0,8,0.596994326023616,0.3704339298847757
T2c_H,linear_chain,12,824,0,824,385,2,439,439,0,0,0,0,0,0,0.0,1.0
T2c_H,polarized,12,7328,4494,11822,4381,1453,7441,4360,3081,1413,3081,0,0,9,0.380138724412113,0.585942749630426
T2c_H,random_er,12,10205,242,10447,3891,33,6556,6314,242,0,242,0,0,2,0.023164544845410164,0.9630872483221476
T2c_H,ring,12,883,0,883,417,1,466,466,0,0,0,0,0,0,0.0,1.0
T2c_H,scale_free,12,11681,2256,13937,5145,603,8792,7116,1676,649,1830,0,0,8,0.16187127789337735,0.8093721565059144
T2c_H,small_world,12,8557,4635,13192,4898,1604,8294,5215,3079,1556,4734,0,0,11,0.35134930260764097,0.6287677839401977
T2c_He,echo_chamber,6,2953,3169,6122,2279,715,3843,1367,2476,693,3344,0,0,6,0.517641293694871,0.35571168358053606
T2c_He,hierarchical,6,320,0,320,115,0,205,205,0,0,0,0,0,0,0.0,1.0
T2c_He,linear_chain,6,435,0,435,206,0,229,229,0,0,0,0,0,0,0.0,1.0
T2c_He,polarized,6,2900,1620,4520,1653,1,2867,1247,1620,0,1409,0,0,5,0.3584070796460177,0.4349494244855249
T2c_He,random_er,6,5193,0,5193,1932,0,3261,3261,0,0,0,0,0,0,0.0,1.0
T2c_He,ring,6,422,0,422,195,0,227,227,0,0,0,0,0,0,0.0,1.0
T2c_He,scale_free,6,6509,587,7096,2611,77,4485,3971,514,73,542,0,0,4,0.08272266065388952,0.8853957636566332
T2c_He,small_world,6,6967,367,7334,2731,3,4603,4236,367,0,367,0,0,2,0.05004090537223889,0.9202693895285683
T2d_H,echo_chamber,12,20496,742,21246,4794,32,8226,7815,411,0,411,0,0,3,0.03493737640079104,0.950036469730124
T2d_H,hierarchical,12,9318,110,9428,2134,123,3647,3647,0,110,0,0,0,4,0.011667373780229105,1.0
T2d_H,linear_chain,12,1448,0,1448,448,3,500,500,0,0,0,0,0,0,0.0,1.0
T2d_H,polarized,12,7265,10324,19321,4359,1678,7481,2837,4644,2020,6231,0,0,10,0.586957757689465,0.3792273760192488
T2d_H,random_er,12,15906,1170,17076,3876,43,6600,5945,655,0,655,0,0,2,0.06851721714687281,0.9007575757575758
T2d_H,ring,12,1297,0,1297,403,5,447,447,0,0,0,0,0,0,0.0,1.0
T2d_H,scale_free,12,16733,3647,22760,5176,948,8792,7206,1586,899,2038,0,0,8,0.17894995093228655,0.8196087352138307
T2d_H,small_world,12,16525,8433,24961,5713,1712,9624,6019,3605,1636,4573,0,0,9,0.3378876512541069,0.6254156275976724
T2d_He,echo_chamber,6,3489,6033,9529,2181,811,3674,881,2793,728,3317,0,0,6,0.6335853812224322,0.23979314099074578
T2d_He,hierarchical,6,637,0,637,141,1,248,248,0,0,0,0,0,0,0.0,1.0
T2d_He,linear_chain,6,724,0,724,226,0,249,249,0,0,0,0,0,0,0.0,1.0
T2d_He,polarized,6,3987,3896,7890,1776,717,3057,1345,1712,754,2757,0,0,6,0.4942280857541545,0.43997383055282957
T2d_He,random_er,6,9458,0,9458,2168,1,3645,3645,0,0,0,0,0,0,0.0,1.0
T2d_He,ring,6,685,0,685,213,0,236,236,0,0,0,0,0,0,0.0,1.0
T2d_He,scale_free,6,7995,3019,11016,2512,110,4252,2702,1550,110,1930,0,0,6,0.27410568367532234,0.6354656632173095
T2d_He,small_world,6,11145,1146,12293,2771,72,4761,4173,588,68,588,0,0,3,0.09323895533317061,0.8764965343415249
