experimentName,selectedRunDir,nRunDirectories,nCompleteRuns,nCleanCompleteRuns,cleanReplacementRunDirs,hasCleanReplacement
T2c_H_echo_chamber_biodiversity_food_security,T2c_H_echo_chamber_biodiversity_food_security_2026-09-19_04-43-08,2,1,0,,False
T2c_H_echo_chamber_climate_action_advocate,T2c_H_echo_chamber_climate_action_advocate_2026-09-19_04-30-38,1,1,0,,False
T2c_H_echo_chamber_climate_justice_youth,T2c_H_echo_chamber_climate_justice_youth_2026-09-19_04-31-18,1,1,0,,False
T2c_H_echo_chamber_climate_scientist,T2c_H_echo_chamber_climate_scientist_2026-09-19_04-45-38,2,1,0,,False
T2c_H_echo_chamber_conspiracy_believer,T2c_H_echo_chamber_conspiracy_believer_2026-09-19_04-13-27,1,1,0,,False
T2c_H_echo_chamber_conspiracy_climate_piggyback,T2c_H_echo_chamber_conspiracy_climate_piggyback_2026-09-19_04-13-27,1,1,0,,False
T2c_H_echo_chamber_conspiracy_depopulation,T2c_H_echo_chamber_conspiracy_depopulation_2026-09-19_04-13-27,1,1,0,,False
T2c_H_echo_chamber_conspiracy_haarp_weather,T2c_H_echo_chamber_conspiracy_haarp_weather_2026-09-19_04-13-27,1,1,0,,False
T2c_H_echo_chamber_environmental_concern,T2c_H_echo_chamber_environmental_concern_2026-09-19_04-31-37,1,1,0,,False
T2c_H_echo_chamber_mitigation_first_policy,T2c_H_echo_chamber_mitigation_first_policy_2026-09-19_04-31-24,1,1,0,,False
T2c_H_echo_chamber_ozone_stratosphere_specialist,T2c_H_echo_chamber_ozone_stratosphere_specialist_2026-09-19_04-32-32,2,1,0,,False
T2c_H_echo_chamber_science_journalist,T2c_H_echo_chamber_science_journalist_2026-09-19_04-45-58,1,1,0,,False
T2c_H_hierarchical_biodiversity_food_security,T2c_H_hierarchical_biodiversity_food_security_2026-09-19_04-31-12,1,1,0,,False
T2c_H_hierarchical_climate_action_advocate,T2c_H_hierarchical_climate_action_advocate_2026-09-19_04-26-01,1,1,0,,False
T2c_H_hierarchical_climate_justice_youth,T2c_H_hierarchical_climate_justice_youth_2026-09-19_04-26-51,1,1,0,,False
T2c_H_hierarchical_climate_scientist,T2c_H_hierarchical_climate_scientist_2026-09-19_04-31-18,1,1,0,,False
T2c_H_hierarchical_conspiracy_believer,T2c_H_hierarchical_conspiracy_believer_2026-09-19_04-17-53,1,1,0,,False
T2c_H_hierarchical_conspiracy_climate_piggyback,T2c_H_hierarchical_conspiracy_climate_piggyback_2026-09-19_04-17-53,1,1,0,,False
T2c_H_hierarchical_conspiracy_depopulation,T2c_H_hierarchical_conspiracy_depopulation_2026-09-19_04-17-53,1,1,0,,False
T2c_H_hierarchical_conspiracy_haarp_weather,T2c_H_hierarchical_conspiracy_haarp_weather_2026-09-19_04-17-53,1,1,0,,False
T2c_H_hierarchical_environmental_concern,T2c_H_hierarchical_environmental_concern_2026-09-19_04-28-19,1,1,0,,False
T2c_H_hierarchical_mitigation_first_policy,T2c_H_hierarchical_mitigation_first_policy_2026-09-19_04-28-02,1,1,0,,False
T2c_H_hierarchical_ozone_stratosphere_specialist,T2c_H_hierarchical_ozone_stratosphere_specialist_2026-09-19_04-31-07,1,1,0,,False
T2c_H_hierarchical_science_journalist,T2c_H_hierarchical_science_journalist_2026-09-19_04-31-27,1,1,0,,False
T2c_H_linear_chain_biodiversity_food_security,T2c_H_linear_chain_biodiversity_food_security_2026-09-19_02-52-45,1,1,0,,False
