topology,articleId,mode,n_live_H,n_live_He,meanMI_H,meanMI_He,delta_He_minus_H,kStar_H,kStar_He
linear_chain,scopex_2017,continuous,12,6,0.6395833333333333,0.78125,0.14166666666666672,0.0,0.0
linear_chain,scopex_2017,dual-discrete,11,5,1.6136363636363635,2.71906,1.1054236363636363,0.09090909090909091,0.4
linear_chain,chemtrails_gates_2018_2021,continuous,12,6,1.4952416666666668,1.5375000000000003,0.04225833333333351,0.25,0.0
linear_chain,chemtrails_gates_2018_2021,dual-discrete,12,6,2.1979166666666665,2.6152833333333336,0.4173666666666671,0.3333333333333333,0.0
linear_chain,sai_geoengineering,continuous,11,5,0.011363636363636364,0.12916,0.11779636363636363,0.0,0.0
linear_chain,sai_geoengineering,dual-discrete,12,5,1.4161666666666666,1.6,0.18383333333333352,0.0,0.0
linear_chain,paris_agreement,continuous,9,6,1.7129666666666667,1.03125,-0.6817166666666667,0.3333333333333333,0.0
linear_chain,paris_agreement,dual-discrete,10,5,1.37084,1.4300000000000002,0.0591600000000001,0.2,0.4
linear_chain,climate_consensus,continuous,9,4,1.6875,1.5676999999999999,-0.11980000000000013,0.3333333333333333,0.0
linear_chain,climate_consensus,dual-discrete,11,6,2.030845454545455,2.6666666666666665,0.6358212121212117,0.2727272727272727,0.5
linear_chain,polar_bears,continuous,9,5,0.027777777777777776,0.125,0.09722222222222222,0.0,0.0
linear_chain,polar_bears,dual-discrete,12,6,1.0416666666666667,1.3958333333333333,0.3541666666666665,0.0,0.16666666666666666
ring,scopex_2017,continuous,11,6,0.8352272727272727,0.8125,-0.022727272727272707,0.0,0.0
ring,scopex_2017,dual-discrete,7,5,0.9464285714285714,2.575,1.6285714285714288,0.14285714285714285,0.8
ring,chemtrails_gates_2018_2021,continuous,12,5,1.575,1.2375,-0.3374999999999999,0.3333333333333333,0.0
ring,chemtrails_gates_2018_2021,dual-discrete,11,5,2.0795454545454546,2.8785800000000004,0.7990345454545458,0.2727272727272727,0.8
ring,sai_geoengineering,continuous,10,6,0.34375,0.125,-0.21875,0.0,0.0
ring,sai_geoengineering,dual-discrete,10,5,1.5875,1.375,-0.2124999999999999,0.0,0.0
ring,paris_agreement,continuous,10,5,1.19,1.6149999999999998,0.4249999999999998,0.3,0.0
ring,paris_agreement,dual-discrete,9,6,1.7420666666666667,2.5694500000000002,0.8273833333333336,0.2222222222222222,0.5
