mix,mix_note,mix_family,topology,n_live_continuous,continuous_MPR,n_live_dual,discrete_MPR,kStar_rate_continuous,kStar_rate_dual
mix_00,4 conspiracy + 4 climate/env,conspiracy_heavy,linear_chain,6,1.5243,5,2.86334,0.0,0.2
mix_00,4 conspiracy + 4 climate/env,conspiracy_heavy,ring,6,1.80555,5,3.125,0.0,0.4
mix_00,4 conspiracy + 4 climate/env,conspiracy_heavy,random_er,5,1.31966,5,2.9956,0.0,0.6
mix_00,4 conspiracy + 4 climate/env,conspiracy_heavy,small_world,4,1.5142,6,2.9406666666666665,0.25,0.6666666666666666
mix_00,4 conspiracy + 4 climate/env,conspiracy_heavy,scale_free,5,1.6055200000000003,4,2.9735500000000004,0.2,0.75
mix_00,4 conspiracy + 4 climate/env,conspiracy_heavy,echo_chamber,5,2.32294,5,3.75,0.0,0.6
mix_00,4 conspiracy + 4 climate/env,conspiracy_heavy,polarized,3,1.2257,5,3.2903399999999996,0.0,0.8
mix_00,4 conspiracy + 4 climate/env,conspiracy_heavy,hierarchical,5,2.6246400000000003,5,3.125,0.6,0.6
mix_01,2 conspiracy + 6 climate/env,conspiracy_heavy,linear_chain,6,1.3576333333333335,6,2.69445,0.0,0.6666666666666666
mix_01,2 conspiracy + 6 climate/env,conspiracy_heavy,ring,6,1.5,6,2.7916666666666665,0.0,0.5
mix_01,2 conspiracy + 6 climate/env,conspiracy_heavy,random_er,5,0.90726,6,2.645233333333333,0.0,0.6666666666666666
mix_01,2 conspiracy + 6 climate/env,conspiracy_heavy,small_world,4,1.127775,6,2.5511500000000003,0.0,0.6666666666666666
mix_01,2 conspiracy + 6 climate/env,conspiracy_heavy,scale_free,5,1.35722,5,2.94664,0.2,0.6
mix_01,2 conspiracy + 6 climate/env,conspiracy_heavy,echo_chamber,5,2.49766,4,2.966675,0.2,0.25
mix_01,2 conspiracy + 6 climate/env,conspiracy_heavy,polarized,5,1.1963599999999999,4,2.878625,0.0,0.75
mix_01,2 conspiracy + 6 climate/env,conspiracy_heavy,hierarchical,5,1.82168,4,2.9375,0.4,0.5
mix_02,0 conspiracy + 8 science/climate,conspiracy_free,linear_chain,6,0.2520833333333333,6,1.6041666666666667,0.0,0.0
mix_02,0 conspiracy + 8 science/climate,conspiracy_free,ring,5,0.4375,6,1.1500000000000001,0.0,0.0
mix_02,0 conspiracy + 8 science/climate,conspiracy_free,random_er,6,0.24023333333333338,5,1.1767600000000003,0.0,0.0
mix_02,0 conspiracy + 8 science/climate,conspiracy_free,small_world,6,0.26519999999999994,6,1.34095,0.0,0.0
mix_02,0 conspiracy + 8 science/climate,conspiracy_free,scale_free,6,0.1973,5,1.2547599999999999,0.0,0.0
mix_02,0 conspiracy + 8 science/climate,conspiracy_free,echo_chamber,5,0.19695999999999997,5,1.11784,0.0,0.0
mix_02,0 conspiracy + 8 science/climate,conspiracy_free,polarized,4,0.201225,3,0.11109999999999999,0.0,0.0
mix_02,0 conspiracy + 8 science/climate,conspiracy_free,hierarchical,3,0.3799666666666666,5,1.2129400000000001,0.0,0.0
mix_03,1 conspiracy + 7 other,conspiracy_adj_or_sparse,linear_chain,4,0.396875,5,1.575,0.0,0.2
mix_03,1 conspiracy + 7 other,conspiracy_adj_or_sparse,ring,6,0.10416666666666667,6,1.3541666666666667,0.0,0.3333333333333333
mix_03,1 conspiracy + 7 other,conspiracy_adj_or_sparse,random_er,6,0.4537166666666667,3,1.3766666666666667,0.0,0.0
mix_03,1 conspiracy + 7 other,conspiracy_adj_or_sparse,small_world,5,0.49140000000000006,4,1.310225,0.0,0.0
mix_03,1 conspiracy + 7 other,conspiracy_adj_or_sparse,scale_free,3,0.4298,4,1.053725,0.0,0.0
mix_03,1 conspiracy + 7 other,conspiracy_adj_or_sparse,echo_chamber,6,2.4195166666666665,6,2.9348500000000004,0.3333333333333333,0.5
mix_03,1 conspiracy + 7 other,conspiracy_adj_or_sparse,polarized,5,1.63722,4,2.93175,0.2,0.75
mix_03,1 conspiracy + 7 other,conspiracy_adj_or_sparse,hierarchical,4,0.875,4,3.6384,0.25,0.75
mix_04,2 conspiracy-adj + 6 other,conspiracy_adj_or_sparse,linear_chain,5,0.7,5,2.1550000000000002,0.0,0.2
mix_04,2 conspiracy-adj + 6 other,conspiracy_adj_or_sparse,ring,5,0.515,6,2.2708333333333335,0.2,0.5
mix_04,2 conspiracy-adj + 6 other,conspiracy_adj_or_sparse,random_er,5,0.6848799999999999,5,1.61326,0.0,0.0
mix_04,2 conspiracy-adj + 6 other,conspiracy_adj_or_sparse,small_world,6,0.7028499999999999,4,1.479225,0.0,0.25
mix_04,2 conspiracy-adj + 6 other,conspiracy_adj_or_sparse,scale_free,5,0.56654,6,1.8277333333333334,0.0,0.3333333333333333
mix_04,2 conspiracy-adj + 6 other,conspiracy_adj_or_sparse,echo_chamber,5,0.25427999999999995,5,0.4492400000000001,0.0,0.0
mix_04,2 conspiracy-adj + 6 other,conspiracy_adj_or_sparse,polarized,4,2.215075,4,0.9368000000000001,0.25,0.0
mix_04,2 conspiracy-adj + 6 other,conspiracy_adj_or_sparse,hierarchical,3,0.0,4,2.6375,0.0,0.25
mix_05,2 conspiracy-adj + 6 other,conspiracy_adj_or_sparse,linear_chain,5,0.75,6,1.6756,0.0,0.16666666666666666
mix_05,2 conspiracy-adj + 6 other,conspiracy_adj_or_sparse,ring,5,0.7375,4,2.7024,0.0,0.75
mix_05,2 conspiracy-adj + 6 other,conspiracy_adj_or_sparse,random_er,2,0.19899999999999998,5,2.05278,0.0,0.2
mix_05,2 conspiracy-adj + 6 other,conspiracy_adj_or_sparse,small_world,6,0.7592666666666669,6,1.4923166666666665,0.0,0.0
mix_05,2 conspiracy-adj + 6 other,conspiracy_adj_or_sparse,scale_free,6,0.7254166666666667,5,1.9393799999999999,0.0,0.2
mix_05,2 conspiracy-adj + 6 other,conspiracy_adj_or_sparse,echo_chamber,6,0.5337999999999999,5,0.5666599999999999,0.0,0.0
mix_05,2 conspiracy-adj + 6 other,conspiracy_adj_or_sparse,polarized,4,1.958,6,0.8640666666666666,0.25,0.16666666666666666
mix_05,2 conspiracy-adj + 6 other,conspiracy_adj_or_sparse,hierarchical,6,2.1261833333333335,6,2.3452333333333333,0.3333333333333333,0.5
