persona,family,n_cells,n_live_continuous,n_dead_continuous,continuous_MPR,n_live_dual,n_dead_dual,discrete_MPR,kStar_rate_continuous,kStar_rate_dual
conspiracy_believer,conspiracy,48,44,4,2.484213636363637,38,10,3.352160526315789,0.4772727272727273,0.6578947368421053
conspiracy_haarp_weather,conspiracy,48,40,8,2.482895,44,4,3.357065909090909,0.475,0.7045454545454546
conspiracy_depopulation,conspiracy,48,43,5,1.9534511627906972,37,11,3.2822864864864867,0.3488372093023256,0.5945945945945946
conspiracy_climate_piggyback,conspiracy,48,41,7,1.9569585365853657,40,8,2.6838175,0.3170731707317073,0.425
climate_action_advocate,climate_action,48,37,11,0.22581891891891895,37,11,1.06652972972973,0.0,0.0
climate_justice_youth,climate_action,48,41,7,0.24535365853658536,46,2,1.3072347826086954,0.0,0.021739130434782608
mitigation_first_policy,climate_action,48,39,9,0.04640512820512821,43,5,0.7570651162790698,0.0,0.0
environmental_concern,science_env,48,40,8,0.14234,37,11,0.8358891891891891,0.0,0.0
biodiversity_food_security,science_env,48,39,9,0.2114769230769231,37,11,1.1470486486486486,0.0,0.0
ozone_stratosphere_specialist,science_env,48,38,10,0.16268684210526316,37,11,0.9638972972972973,0.0,0.0
science_journalist,science_env,48,37,11,0.030986486486486494,39,9,0.6745256410256412,0.0,0.0
climate_scientist,science_env,48,41,7,0.013002439024390244,43,5,0.7516744186046512,0.0,0.0
