persona,family,topology,n_live_continuous,continuous_MPR,n_live_dual,discrete_MPR,kStar_rate_continuous,kStar_rate_dual
conspiracy_believer,conspiracy,linear_chain,6,2.3854166666666665,5,2.625,0.5,0.4
conspiracy_believer,conspiracy,ring,6,2.4270833333333335,3,3.5416666666666665,0.5,1.0
conspiracy_believer,conspiracy,random_er,4,2.7708250000000003,4,3.87005,0.5,0.75
conspiracy_believer,conspiracy,small_world,5,2.0733200000000003,6,3.3878500000000003,0.4,0.6666666666666666
conspiracy_believer,conspiracy,scale_free,6,2.327083333333334,4,3.3536,0.5,0.75
conspiracy_believer,conspiracy,echo_chamber,6,2.5512,5,3.45664,0.5,0.6
conspiracy_believer,conspiracy,polarized,5,2.52178,5,3.6333399999999996,0.4,0.6
conspiracy_believer,conspiracy,hierarchical,6,2.8503166666666666,6,3.160083333333333,0.5,0.6666666666666666
conspiracy_haarp_weather,conspiracy,linear_chain,6,2.658333333333333,6,3.3958333333333335,0.5,0.6666666666666666
conspiracy_haarp_weather,conspiracy,ring,5,2.725,5,3.225,0.4,0.6
conspiracy_haarp_weather,conspiracy,random_er,3,2.1889333333333334,5,3.4386200000000002,0.3333333333333333,0.6
conspiracy_haarp_weather,conspiracy,small_world,6,2.3736166666666665,6,2.9283333333333332,0.5,0.6666666666666666
conspiracy_haarp_weather,conspiracy,scale_free,5,2.8322200000000004,5,3.61564,0.6,0.8
conspiracy_haarp_weather,conspiracy,echo_chamber,5,2.26696,6,3.3220666666666663,0.4,0.6666666666666666
conspiracy_haarp_weather,conspiracy,polarized,6,2.60555,5,4.14062,0.6666666666666666,1.0
conspiracy_haarp_weather,conspiracy,hierarchical,4,1.950775,6,2.9556833333333334,0.25,0.6666666666666666
conspiracy_depopulation,conspiracy,linear_chain,6,2.0729166666666665,4,3.071425,0.3333333333333333,0.25
conspiracy_depopulation,conspiracy,ring,5,1.7225000000000001,5,3.425,0.4,0.6
conspiracy_depopulation,conspiracy,random_er,6,2.13985,5,3.4277,0.5,0.6
conspiracy_depopulation,conspiracy,small_world,4,1.0984500000000001,4,2.721275,0.25,0.5
conspiracy_depopulation,conspiracy,scale_free,5,1.82606,5,3.0595799999999995,0.4,0.6
conspiracy_depopulation,conspiracy,echo_chamber,6,2.0005166666666665,6,3.3071333333333333,0.16666666666666666,0.6666666666666666
conspiracy_depopulation,conspiracy,polarized,6,2.5729166666666665,5,3.1542600000000003,0.5,0.6
conspiracy_depopulation,conspiracy,hierarchical,5,1.82892,3,4.3661,0.2,1.0
conspiracy_climate_piggyback,conspiracy,linear_chain,5,1.27584,5,2.96428,0.2,0.6
conspiracy_climate_piggyback,conspiracy,ring,6,2.3541666666666665,5,2.625,0.5,0.4
conspiracy_climate_piggyback,conspiracy,random_er,6,2.1926833333333335,4,2.98645,0.3333333333333333,0.5
conspiracy_climate_piggyback,conspiracy,small_world,4,1.8378999999999999,5,2.8253999999999997,0.25,0.4
conspiracy_climate_piggyback,conspiracy,scale_free,5,2.0031,6,2.2371,0.4,0.3333333333333333
conspiracy_climate_piggyback,conspiracy,echo_chamber,6,2.054066666666667,6,2.5014166666666666,0.3333333333333333,0.3333333333333333
conspiracy_climate_piggyback,conspiracy,polarized,4,2.0979,4,2.916675,0.25,0.25
conspiracy_climate_piggyback,conspiracy,hierarchical,5,1.6983800000000002,5,2.6471399999999994,0.2,0.6
climate_action_advocate,climate_action,linear_chain,6,0.15625,6,1.1666666666666667,0.0,0.0
climate_action_advocate,climate_action,ring,6,0.28125,4,1.5,0.0,0.0
climate_action_advocate,climate_action,random_er,5,0.3317,4,1.10745,0.0,0.0
climate_action_advocate,climate_action,small_world,4,0.259125,5,0.9313600000000001,0.0,0.0
climate_action_advocate,climate_action,scale_free,5,0.32374,6,0.9703333333333334,0.0,0.0
climate_action_advocate,climate_action,echo_chamber,3,0.027766666666666665,5,1.1901800000000002,0.0,0.0
climate_action_advocate,climate_action,polarized,5,0.0,3,0.7916666666666666,0.0,0.0
climate_action_advocate,climate_action,hierarchical,3,0.4444333333333333,4,0.806775,0.0,0.0
climate_justice_youth,climate_action,linear_chain,5,0.5375,6,1.375,0.0,0.0
climate_justice_youth,climate_action,ring,5,0.25,6,1.375,0.0,0.0
climate_justice_youth,climate_action,random_er,5,0.275,6,1.3230000000000002,0.0,0.0
climate_justice_youth,climate_action,small_world,6,0.31255,6,1.1096833333333334,0.0,0.0
climate_justice_youth,climate_action,scale_free,4,0.33532500000000004,6,1.3864500000000002,0.0,0.0
climate_justice_youth,climate_action,echo_chamber,6,0.03985,6,1.4912833333333333,0.0,0.16666666666666666
climate_justice_youth,climate_action,polarized,6,0.006883333333333334,4,1.104175,0.0,0.0
climate_justice_youth,climate_action,hierarchical,4,0.3125,6,1.2256,0.0,0.0
mitigation_first_policy,climate_action,linear_chain,4,0.125,6,1.0277833333333335,0.0,0.0
mitigation_first_policy,climate_action,ring,5,0.1,6,0.9166666666666666,0.0,0.0
mitigation_first_policy,climate_action,random_er,5,0.045880000000000004,6,0.7542833333333333,0.0,0.0
mitigation_first_policy,climate_action,small_world,6,0.008333333333333333,5,0.8419800000000001,0.0,0.0
mitigation_first_policy,climate_action,scale_free,4,0.032075,6,0.5522333333333332,0.0,0.0
mitigation_first_policy,climate_action,echo_chamber,6,0.01065,5,0.51996,0.0,0.0
mitigation_first_policy,climate_action,polarized,6,0.0008166666666666666,5,0.70588,0.0,0.0
mitigation_first_policy,climate_action,hierarchical,3,0.11109999999999999,4,0.677225,0.0,0.0
environmental_concern,science_env,linear_chain,5,0.22858,6,1.0833333333333333,0.0,0.0
environmental_concern,science_env,ring,6,0.28125,6,0.75,0.0,0.0
environmental_concern,science_env,random_er,4,0.34235000000000004,4,0.930075,0.0,0.0
environmental_concern,science_env,small_world,3,0.007933333333333334,1,1.8,0.0,0.0
environmental_concern,science_env,scale_free,5,0.26364,3,0.8333333333333334,0.0,0.0
environmental_concern,science_env,echo_chamber,6,0.004116666666666667,5,0.8779,0.0,0.0
environmental_concern,science_env,polarized,6,0.021183333333333332,6,0.48491666666666666,0.0,0.0
environmental_concern,science_env,hierarchical,5,0.0,6,0.7681,0.0,0.0
biodiversity_food_security,science_env,linear_chain,5,0.3,6,1.18055,0.0,0.0
biodiversity_food_security,science_env,ring,5,0.33584,5,1.28572,0.0,0.0
biodiversity_food_security,science_env,random_er,6,0.21866666666666668,4,1.327425,0.0,0.0
biodiversity_food_security,science_env,small_world,3,0.0625,5,0.8745200000000001,0.0,0.0
biodiversity_food_security,science_env,scale_free,5,0.26568,6,1.1907500000000002,0.0,0.0
biodiversity_food_security,science_env,echo_chamber,5,0.27706000000000003,4,1.4068999999999998,0.0,0.0
biodiversity_food_security,science_env,polarized,5,0.17104,2,1.0,0.0,0.0
biodiversity_food_security,science_env,hierarchical,5,0.0,5,0.8949,0.0,0.0
ozone_stratosphere_specialist,science_env,linear_chain,6,0.125,6,0.9682666666666666,0.0,0.0
ozone_stratosphere_specialist,science_env,ring,5,0.225,5,0.85,0.0,0.0
ozone_stratosphere_specialist,science_env,random_er,3,0.0,3,1.223,0.0,0.0
ozone_stratosphere_specialist,science_env,small_world,5,0.16666,5,0.88666,0.0,0.0
ozone_stratosphere_specialist,science_env,scale_free,5,0.36666,3,1.0071333333333332,0.0,0.0
ozone_stratosphere_specialist,science_env,echo_chamber,5,0.11739999999999999,4,0.9177500000000001,0.0,0.0
ozone_stratosphere_specialist,science_env,polarized,6,0.1755833333333333,6,1.0549833333333332,0.0,0.0
ozone_stratosphere_specialist,science_env,hierarchical,3,0.0,5,0.8959999999999999,0.0,0.0
science_journalist,science_env,linear_chain,3,0.0,6,0.625,0.0,0.0
science_journalist,science_env,ring,5,0.1125,6,0.7708333333333334,0.0,0.0
science_journalist,science_env,random_er,5,0.00992,5,0.67294,0.0,0.0
science_journalist,science_env,small_world,4,0.004900000000000001,5,0.4156000000000001,0.0,0.0
science_journalist,science_env,scale_free,5,0.05174000000000001,3,0.8321999999999999,0.0,0.0
science_journalist,science_env,echo_chamber,4,0.02205,4,0.7544249999999999,0.0,0.0
science_journalist,science_env,polarized,5,0.02382,6,0.7463833333333333,0.0,0.0
science_journalist,science_env,hierarchical,6,0.008133333333333334,4,0.62405,0.0,0.0
climate_scientist,science_env,linear_chain,5,0.0,6,0.75,0.0,0.0
climate_scientist,science_env,ring,6,0.020833333333333332,5,0.7,0.0,0.0
climate_scientist,science_env,random_er,5,0.0316,6,0.83595,0.0,0.0
climate_scientist,science_env,small_world,6,0.003933333333333333,6,0.5239666666666666,0.0,0.0
climate_scientist,science_env,scale_free,6,0.022416666666666668,4,1.0658500000000002,0.0,0.0
climate_scientist,science_env,echo_chamber,5,0.00954,5,0.68648,0.0,0.0
climate_scientist,science_env,polarized,5,0.00886,6,0.7638833333333332,0.0,0.0
climate_scientist,science_env,hierarchical,3,0.0,5,0.77668,0.0,0.0
