topology,rest,articleId,meanMI_T2c,mpr_T2c,maxMI_T2c,kStar_T2c,nScored_T2c,meanMI_T2d,mpr_T2d,maxMI_T2d,kStar_T2d,meanDualGap,meanAgreement,nScored_T2d,delta_T2d_minus_T2c
echo_chamber,mix_00,scopex_2017,1.9267,1.8641,5.0,,116,4.25,4.1667,5.0,5.0,1.6875,0.0187,8,2.3232999999999997
echo_chamber,mix_00,chemtrails_gates_2018_2021,2.3047,2.1131,5.0,,106,4.0,4.0,5.0,,1.1429,0.7422,7,1.6953
echo_chamber,mix_00,paris_agreement,3.1738,3.179,5.0,,65,4.1667,3.5,5.0,5.0,0.6667,-0.4082,6,0.9928999999999997
echo_chamber,mix_00,climate_consensus,3.7143,3.4048,5.0,,14,5.0,5.0,5.0,3.0,0.0,,2,1.2856999999999998
echo_chamber,mix_01,scopex_2017,2.4241,2.0678,5.0,,112,3.6,3.5,5.0,,2.2,0.7156,5,1.1759
echo_chamber,mix_01,chemtrails_gates_2018_2021,2.7578,2.5035,4.0,,109,2.6,2.5,4.0,,1.08,0.8359,5,-0.15779999999999994
echo_chamber,mix_01,climate_consensus,4.3276,3.8563,5.0,3.0,29,4.0,4.0,5.0,7.0,1.125,0.7638,4,-0.32760000000000034
echo_chamber,mix_02,scopex_2017,0.0378,0.0483,2.5,,111,0.6429,0.7383,3.0,,0.5536,0.6649,112,0.6051
echo_chamber,mix_02,chemtrails_gates_2018_2021,0.697,0.6871,0.9999999999999998,,33,1.6723,1.7356,3.0,,0.8597,0.9683,119,0.9753
echo_chamber,mix_02,climate_consensus,0.25,0.2857,0.9999999999999998,,8,1.4545,1.5556,2.0,,1.1364,0.9031,11,1.2045
echo_chamber,mix_02,polar_bears,0.0,0.0,0.0,,2,1.3333,1.5,2.0,,1.3333,,6,1.3333
echo_chamber,mix_03,scopex_2017,2.2134,2.0401,5.0,,119,3.8435,3.7672,5.0,3.0,2.227,0.47,115,1.6301
echo_chamber,mix_03,chemtrails_gates_2018_2021,2.6491,2.394,4.0,,53,2.7885,2.665,5.0,8.0,0.9577,0.801,104,0.1394000000000002
echo_chamber,mix_03,sai_geoengineering,0.7273,0.8571,3.0,,11,1.0882,1.0732,3.0,,1.0735,1.0,68,0.3609000000000001
