pool,pooling_unit,n_cells_incl_dead,n_live,n_dead,dead_rate,meanMI,medianMI,meanNodeMPR,mean_maxMI,kStar_rate,meanDualGap,meanAgreement
T2c_H_all_topologies,live article-cells concatenated across topologies; not a physical super-graph,576,480,96,0.16666666666666666,0.8643383333333332,0.04135,0.8630283333333334,1.5429166666666665,0.14166666666666666,,
T2c_He_all_topologies,live article-cells concatenated across topologies; not a physical super-graph,288,238,50,0.1736111111111111,1.0192495798319328,0.5,1.0139789915966386,2.5315126050420167,0.07563025210084033,,
T2d_H_all_topologies,live article-cells concatenated across topologies; not a physical super-graph,576,478,98,0.1701388888888889,1.680986820083682,1.13395,1.6834970711297073,2.707112970711297,0.200836820083682,0.8799253138075314,0.6490270370370369
T2d_He_all_topologies,live article-cells concatenated across topologies; not a physical super-graph,288,240,48,0.16666666666666666,2.0799791666666665,1.75,2.0737324999999998,3.7,0.32083333333333336,1.1145370833333332,0.6173818713450293
T2c_H_conspiracy_family,live article-cells concatenated across topologies; not a physical super-graph,192,168,24,0.125,2.219374404761905,2.3106999999999998,2.2145255952380953,3.4386904761904766,0.40476190476190477,,
T2c_H_science_env_family,live article-cells concatenated across topologies; not a physical super-graph,240,195,45,0.1875,0.11180974358974359,0.0,0.1130123076923077,0.45948717948717943,0.0,,
T2c_H_climate_action_family,live article-cells concatenated across topologies; not a physical super-graph,144,117,27,0.1875,0.17285982905982905,0.0049,0.17244358974358975,0.6264957264957265,0.0,,
T2d_H_conspiracy_family,live article-cells concatenated across topologies; not a physical super-graph,192,159,33,0.171875,3.1691213836477985,3.75,3.1798698113207546,4.30188679245283,0.5974842767295597,1.045172327044025,0.4614278260869566
T2d_H_science_env_family,live article-cells concatenated across topologies; not a physical super-graph,240,193,47,0.19583333333333333,0.8677367875647669,0.8333,0.8650269430051813,1.689119170984456,0.0,0.7404430051813471,0.8227382716049382
T2d_H_climate_action_family,live article-cells concatenated across topologies; not a physical super-graph,144,126,18,0.125,1.0487952380952383,1.0,1.048905555555555,2.253968253968254,0.007936507936507936,0.8850507936507936,0.750422972972973
T2c_He_conspiracy_heavy_mix00_01,live article-cells concatenated across topologies; not a physical super-graph,96,80,16,0.16666666666666666,1.6204325000000002,1.7229,1.59211375,3.225,0.1125,,
T2c_He_conspiracy_free_mix02,live article-cells concatenated across topologies; not a physical super-graph,48,41,7,0.14583333333333334,0.26453658536585367,0.0793,0.26476097560975603,0.975609756097561,0.0,,
T2d_He_conspiracy_heavy_mix00_01,live article-cells concatenated across topologies; not a physical super-graph,96,81,15,0.15625,2.95362962962963,3.2583,2.9500012345679014,4.296296296296297,0.5802469135802469,1.3031864197530865,0.5127269841269841
T2d_He_conspiracy_free_mix02,live article-cells concatenated across topologies; not a physical super-graph,48,41,7,0.14583333333333334,1.1881829268292683,1.125,1.2043268292682925,2.4390243902439024,0.0,0.9639780487804878,0.8208222222222221
