topology,arm,n_live_dual,meanAgreement,meanDualGap,meanDiscreteMI,meanContinuousSidecar,note
linear_chain,H,68,0.6223137931034483,0.967175,1.612745588235294,0.6838235294117647,IFD CR/MR/IR not in live tables; agreement + dual gap only. Dual gap is not MPR.
linear_chain,He,33,0.7196079999999999,1.296039393939394,2.0852121212121215,0.8538181818181818,IFD CR/MR/IR not in live tables; agreement + dual gap only. Dual gap is not MPR.
ring,H,61,0.6655857142857142,0.8802688524590164,1.6402229508196722,0.7839,IFD CR/MR/IR not in live tables; agreement + dual gap only. Dual gap is not MPR.
ring,He,33,0.6403565217391305,1.3123030303030303,2.1768060606060606,0.9061696969696968,IFD CR/MR/IR not in live tables; agreement + dual gap only. Dual gap is not MPR.
random_er,H,56,0.696928947368421,0.9679946428571429,1.780901785714286,0.8566517857142857,IFD CR/MR/IR not in live tables; agreement + dual gap only. Dual gap is not MPR.
random_er,He,29,0.6460192307692307,1.1334862068965517,2.041151724137931,0.9548586206896551,IFD CR/MR/IR not in live tables; agreement + dual gap only. Dual gap is not MPR.
small_world,H,59,0.5928470588235294,0.8255101694915254,1.5976559322033899,0.8252355932203389,IFD CR/MR/IR not in live tables; agreement + dual gap only. Dual gap is not MPR.
small_world,He,32,0.6522413793103449,1.104865625,1.9096343750000002,0.845728125,IFD CR/MR/IR not in live tables; agreement + dual gap only. Dual gap is not MPR.
scale_free,H,57,0.6607444444444444,0.8419771929824561,1.6990877192982456,0.9009771929824562,IFD CR/MR/IR not in live tables; agreement + dual gap only. Dual gap is not MPR.
scale_free,He,29,0.6230083333333334,1.1057827586206894,1.9923931034482758,0.931444827586207,IFD CR/MR/IR not in live tables; agreement + dual gap only. Dual gap is not MPR.
echo_chamber,H,61,0.6305954545454545,0.8922704918032787,1.798418032786885,0.9721344262295082,IFD CR/MR/IR not in live tables; agreement + dual gap only. Dual gap is not MPR.
echo_chamber,He,30,0.5985875,0.88297,1.9631500000000002,1.1014066666666666,IFD CR/MR/IR not in live tables; agreement + dual gap only. Dual gap is not MPR.
polarized,H,57,0.6220285714285714,0.8555526315789473,1.7015228070175439,0.8631298245614035,IFD CR/MR/IR not in live tables; agreement + dual gap only. Dual gap is not MPR.
polarized,He,26,0.56728125,0.8784423076923077,1.8830038461538459,1.0388346153846155,IFD CR/MR/IR not in live tables; agreement + dual gap only. Dual gap is not MPR.
hierarchical,H,59,0.6905749999999999,0.7972796610169491,1.631540677966102,0.8942101694915253,IFD CR/MR/IR not in live tables; agreement + dual gap only. Dual gap is not MPR.
hierarchical,He,28,0.29469166666666663,1.135375,2.5933821428571426,1.6870464285714284,IFD CR/MR/IR not in live tables; agreement + dual gap only. Dual gap is not MPR.
