topology,arm,n_cells_continuous,n_live_continuous,n_dead_continuous,dead_rate_continuous,meanMI_continuous,meanNodeMPR_continuous,maxMI_continuous,kStar_rate_continuous,n_cells_dual,n_live_dual,n_dead_dual,dead_rate_dual,meanMI_dualHeadline,meanNodeMPR_dualHeadline,maxMI_dualHeadline,kStar_rate_dual,meanDualGap,meanAgreement
linear_chain,H,72,62,10,0.1388888888888889,0.9128564516129032,0.9128564516129032,1.2580645161290323,0.14516129032258066,72,68,4,0.05555555555555555,1.612745588235294,1.612745588235294,2.3529411764705883,0.14705882352941177,0.967175,0.6223137931034483
linear_chain,He,36,32,4,0.1111111111111111,0.8638,0.8638,2.109375,0.0,36,33,3,0.08333333333333333,2.0852121212121215,2.0852121212121215,3.5757575757575757,0.24242424242424243,1.296039393939394,0.7196079999999999
ring,H,72,65,7,0.09722222222222222,0.9160261538461538,0.9160261538461538,1.310769230769231,0.15384615384615385,72,61,11,0.1527777777777778,1.6402229508196722,1.6402229508196722,2.2950819672131146,0.18032786885245902,0.8802688524590164,0.6655857142857142
ring,He,36,33,3,0.08333333333333333,0.8760090909090908,0.8760090909090908,1.7121212121212122,0.030303030303030304,36,33,3,0.08333333333333333,2.1768060606060606,2.1768060606060606,3.484848484848485,0.3939393939393939,1.3123030303030303,0.6403565217391305
random_er,H,72,57,15,0.20833333333333334,0.8736350877192983,0.8548771929824561,1.8508771929824561,0.14035087719298245,72,56,16,0.2222222222222222,1.780901785714286,1.7862803571428572,3.0714285714285716,0.19642857142857142,0.9679946428571429,0.696928947368421
random_er,He,36,29,7,0.19444444444444445,0.6593344827586207,0.6800586206896553,2.8793103448275863,0.0,36,29,7,0.19444444444444445,2.041151724137931,2.045851724137931,4.413793103448276,0.27586206896551724,1.1334862068965517,0.6460192307692307
small_world,H,72,56,16,0.2222222222222222,0.7214875000000001,0.724219642857143,1.5357142857142858,0.125,72,59,13,0.18055555555555555,1.5976559322033899,1.618249152542373,2.6440677966101696,0.2033898305084746,0.8255101694915254,0.5928470588235294
small_world,He,36,31,5,0.1388888888888889,0.7544774193548386,0.7568774193548389,3.0161290322580645,0.03225806451612903,36,32,4,0.1111111111111111,1.9096343750000002,1.91193125,4.09375,0.28125,1.104865625,0.6522413793103449
scale_free,H,72,60,12,0.16666666666666666,0.9205133333333335,0.9216183333333334,1.995,0.16666666666666666,72,57,15,0.20833333333333334,1.6990877192982456,1.7020245614035088,2.9298245614035086,0.21052631578947367,0.8419771929824561,0.6607444444444444
scale_free,He,36,30,6,0.16666666666666666,0.8157366666666666,0.8163066666666668,2.8833333333333333,0.06666666666666667,36,29,7,0.19444444444444445,1.9923931034482758,1.9462241379310343,4.0,0.3103448275862069,1.1057827586206894,0.6230083333333334
echo_chamber,H,72,63,9,0.125,0.849026984126984,0.853988888888889,1.5555555555555556,0.12698412698412698,72,61,11,0.1527777777777778,1.798418032786885,1.7909524590163937,3.0655737704918034,0.22950819672131148,0.8922704918032787,0.6305954545454545
echo_chamber,He,36,32,4,0.1111111111111111,1.377471875,1.30990625,2.765625,0.09375,36,30,6,0.16666666666666666,1.9631500000000002,1.9445000000000001,3.066666666666667,0.23333333333333334,0.88297,0.5985875
polarized,H,72,65,7,0.09722222222222222,0.8356415384615384,0.8339661538461538,1.2876923076923077,0.15384615384615385,72,57,15,0.20833333333333334,1.7015228070175439,1.6999807017543862,2.508771929824561,0.21052631578947367,0.8555526315789473,0.6220285714285714
polarized,He,36,25,11,0.3055555555555556,1.4136880000000003,1.422676,3.08,0.12,36,26,10,0.2777777777777778,1.8830038461538459,1.8967,3.4615384615384617,0.4230769230769231,0.8784423076923077,0.56728125
hierarchical,H,72,52,20,0.2777777777777778,0.8751326923076923,0.8754673076923077,1.625,0.11538461538461539,72,59,13,0.18055555555555555,1.631540677966102,1.6325508474576271,2.864406779661017,0.23728813559322035,0.7972796610169491,0.6905749999999999
hierarchical,He,36,26,10,0.2777777777777778,1.5241769230769233,1.5238115384615383,1.9038461538461537,0.3076923076923077,36,28,8,0.2222222222222222,2.5933821428571426,2.587428571428571,3.5,0.42857142857142855,1.135375,0.29469166666666663
