articleId,arm,n_live_continuous,continuous_MPR,n_live_dual,discrete_MPR
scopex_2017,H,88,0.7320636363636364,78,1.5390346153846155
scopex_2017,He,40,0.7693725,38,2.3717526315789472
chemtrails_gates_2018_2021,H,82,1.3584817073170732,85,2.138298823529412
chemtrails_gates_2018_2021,He,40,1.7851975000000002,42,2.388457142857143
sai_geoengineering,H,77,0.19455584415584415,80,1.3576462500000002
sai_geoengineering,He,43,0.15225813953488374,38,1.1160368421052633
paris_agreement,H,81,1.3333506172839507,74,1.7320689189189187
paris_agreement,He,37,1.6820675675675676,39,2.4591153846153846
climate_consensus,H,73,1.5720753424657534,80,2.26100375
climate_consensus,He,37,1.8895756756756756,43,2.8991023255813952
polar_bears,H,81,0.016601234567901236,81,1.0399345679012346
polar_bears,He,41,0.04148048780487804,40,1.1444225
