mix,mix_note,topology,n_live_continuous,continuous_MPR,n_live_dual,discrete_MPR
mix_00,4 conspiracy + 4 climate/env,linear_chain,6,1.5243,5,2.86334
mix_00,4 conspiracy + 4 climate/env,ring,6,1.80555,5,3.125
mix_00,4 conspiracy + 4 climate/env,random_er,5,1.31966,5,2.9956
mix_00,4 conspiracy + 4 climate/env,small_world,4,1.5142,6,2.9406666666666665
mix_00,4 conspiracy + 4 climate/env,scale_free,5,1.6055200000000003,4,2.9735500000000004
mix_00,4 conspiracy + 4 climate/env,echo_chamber,5,2.32294,5,3.75
mix_00,4 conspiracy + 4 climate/env,polarized,3,1.2257,5,3.2903399999999996
mix_00,4 conspiracy + 4 climate/env,hierarchical,5,2.6246400000000003,5,3.125
mix_01,2 conspiracy + 6 climate/env,linear_chain,6,1.3576333333333335,6,2.69445
mix_01,2 conspiracy + 6 climate/env,ring,6,1.5,6,2.7916666666666665
mix_01,2 conspiracy + 6 climate/env,random_er,5,0.90726,6,2.645233333333333
mix_01,2 conspiracy + 6 climate/env,small_world,4,1.127775,6,2.5511500000000003
mix_01,2 conspiracy + 6 climate/env,scale_free,5,1.35722,5,2.94664
mix_01,2 conspiracy + 6 climate/env,echo_chamber,5,2.49766,4,2.966675
mix_01,2 conspiracy + 6 climate/env,polarized,5,1.1963599999999999,4,2.878625
mix_01,2 conspiracy + 6 climate/env,hierarchical,5,1.82168,4,2.9375
mix_02,0 conspiracy + 8 science/climate,linear_chain,6,0.2520833333333333,6,1.6041666666666667
mix_02,0 conspiracy + 8 science/climate,ring,5,0.4375,6,1.1500000000000001
mix_02,0 conspiracy + 8 science/climate,random_er,6,0.24023333333333338,5,1.1767600000000003
mix_02,0 conspiracy + 8 science/climate,small_world,6,0.26519999999999994,6,1.34095
mix_02,0 conspiracy + 8 science/climate,scale_free,6,0.1973,5,1.2547599999999999
mix_02,0 conspiracy + 8 science/climate,echo_chamber,5,0.19695999999999997,5,1.11784
mix_02,0 conspiracy + 8 science/climate,polarized,4,0.201225,3,0.11109999999999999
mix_02,0 conspiracy + 8 science/climate,hierarchical,3,0.3799666666666666,5,1.2129400000000001
mix_03,1 conspiracy + 7 other,linear_chain,4,0.396875,5,1.575
mix_03,1 conspiracy + 7 other,ring,6,0.10416666666666667,6,1.3541666666666667
mix_03,1 conspiracy + 7 other,random_er,6,0.4537166666666667,3,1.3766666666666667
mix_03,1 conspiracy + 7 other,small_world,5,0.49140000000000006,4,1.310225
mix_03,1 conspiracy + 7 other,scale_free,3,0.4298,4,1.053725
mix_03,1 conspiracy + 7 other,echo_chamber,6,2.4195166666666665,6,2.9348500000000004
mix_03,1 conspiracy + 7 other,polarized,5,1.63722,4,2.93175
mix_03,1 conspiracy + 7 other,hierarchical,4,0.875,4,3.6384
mix_04,2 conspiracy-adj + 6 other,linear_chain,5,0.7,5,2.1550000000000002
mix_04,2 conspiracy-adj + 6 other,ring,5,0.515,6,2.2708333333333335
mix_04,2 conspiracy-adj + 6 other,random_er,5,0.6848799999999999,5,1.61326
mix_04,2 conspiracy-adj + 6 other,small_world,6,0.7028499999999999,4,1.479225
mix_04,2 conspiracy-adj + 6 other,scale_free,5,0.56654,6,1.8277333333333334
mix_04,2 conspiracy-adj + 6 other,echo_chamber,5,0.25427999999999995,5,0.4492400000000001
mix_04,2 conspiracy-adj + 6 other,polarized,4,2.215075,4,0.9368000000000001
mix_04,2 conspiracy-adj + 6 other,hierarchical,3,0.0,4,2.6375
mix_05,2 conspiracy-adj + 6 other,linear_chain,5,0.75,6,1.6756
mix_05,2 conspiracy-adj + 6 other,ring,5,0.7375,4,2.7024
mix_05,2 conspiracy-adj + 6 other,random_er,2,0.19899999999999998,5,2.05278
mix_05,2 conspiracy-adj + 6 other,small_world,6,0.7592666666666669,6,1.4923166666666665
mix_05,2 conspiracy-adj + 6 other,scale_free,6,0.7254166666666667,5,1.9393799999999999
mix_05,2 conspiracy-adj + 6 other,echo_chamber,6,0.5337999999999999,5,0.5666599999999999
mix_05,2 conspiracy-adj + 6 other,polarized,4,1.958,6,0.8640666666666666
mix_05,2 conspiracy-adj + 6 other,hierarchical,6,2.1261833333333335,6,2.3452333333333333
