experiment,experimentName,topology,bpMix,articleId,status,totalEvents,maxEventMI,maxNetworkMeanMI,meanNodeMPR,maxNodeMPR,propagandaOccurred,kStar_network,firstMeanMiOver3,networkRecoveredAfterPropaganda,kStar_hop,giniCoefficient,structuralVirality,runDir,model
A,A_er_hom,random-ER,homogeneous-conspiracy,scopex_2017,complete,163,5,4,3.5388,4,true,2,2,false,,0.0326,1.25,A_er_hom_2026-09-18_05-24-05,gpt-4o-mini
A,A_er_hom,random-ER,homogeneous-conspiracy,chemtrails_gates_2018_2021,complete,136,5,4.1111,3.8183,4.25,true,4,4,false,3,0.0469,1.25,A_er_hom_2026-09-18_05-24-05,gpt-4o-mini
A,A_er_hom,random-ER,homogeneous-conspiracy,sai_geoengineering,complete,155,4,2.5,1.6006,1.8333,true,,,false,7,0.062,1.25,A_er_hom_2026-09-18_05-24-05,gpt-4o-mini
A,A_er_hom,random-ER,homogeneous-conspiracy,paris_agreement,complete,158,5,5,4.9168,5,true,1,1,false,1,0.0055,1.25,A_er_hom_2026-09-18_05-24-05,gpt-4o-mini
A,A_er_hom,random-ER,homogeneous-conspiracy,climate_consensus,complete,159,5,5,5,5,true,1,1,false,0,0,1.2857,A_er_hom_2026-09-18_05-24-05,gpt-4o-mini
A,A_er_hom,random-ER,homogeneous-conspiracy,polar_bears,complete,145,5,2,0.8479,1,true,,,false,7,0.121,1.2857,A_er_hom_2026-09-18_05-24-05,gpt-4o-mini
A,A_er_mix,random-ER,mixed-8BP,scopex_2017,complete,147,5,3.64,2.913,3.8333,true,,3,true,,0.0516,1.2857,A_er_mix_2026-09-18_05-24-05,gpt-4o-mini
A,A_er_mix,random-ER,mixed-8BP,chemtrails_gates_2018_2021,complete,145,5,4.0435,3.2335,4.4118,true,1,1,false,,0.0778,1.3333,A_er_mix_2026-09-18_05-24-05,gpt-4o-mini
A,A_er_mix,random-ER,mixed-8BP,sai_geoengineering,complete,150,4,3,0.8331,1.6875,true,,,false,7,0.2233,1.2857,A_er_mix_2026-09-18_05-24-05,gpt-4o-mini
A,A_er_mix,random-ER,mixed-8BP,paris_agreement,complete,143,5,5,3.9129,4.8,true,1,1,false,0,0.0319,1.2857,A_er_mix_2026-09-18_05-24-05,gpt-4o-mini
A,A_er_mix,random-ER,mixed-8BP,climate_consensus,complete,154,5,5,3.9384,4.7895,true,1,1,false,,0.0306,1.2857,A_er_mix_2026-09-18_05-24-05,gpt-4o-mini
A,A_er_mix,random-ER,mixed-8BP,polar_bears,complete,1,0,0,0,0,false,,,false,,0,0,A_er_mix_2026-09-18_05-24-05,gpt-4o-mini
A,A_sf_mix,scale-free,mixed-8BP,scopex_2017,complete,1,0,0,0,0,false,,,false,,0,0,A_sf_mix_2026-09-18_05-06-16,gpt-4o-mini
A,A_sf_mix,scale-free,mixed-8BP,chemtrails_gates_2018_2021,complete,1,0,0,0,0,false,,,false,,0,0,A_sf_mix_2026-09-18_05-06-16,gpt-4o-mini
A,A_sf_mix,scale-free,mixed-8BP,sai_geoengineering,complete,1,0,0,0,0,false,,,false,,0,0,A_sf_mix_2026-09-18_05-06-16,gpt-4o-mini
A,A_sf_mix,scale-free,mixed-8BP,paris_agreement,complete,178,5,5,3.5503,4.0588,true,,1,true,,0.0675,1.6429,A_sf_mix_2026-09-18_05-06-16,gpt-4o-mini
A,A_sf_mix,scale-free,mixed-8BP,climate_consensus,complete,177,5,5,4.7172,5,true,1,1,false,1,0.0207,1.6429,A_sf_mix_2026-09-18_05-06-16,gpt-4o-mini
A,A_sf_mix,scale-free,mixed-8BP,polar_bears,complete,177,4,1.75,1.4685,1.9524,true,,,false,7,0.104,1.6429,A_sf_mix_2026-09-18_05-06-16,gpt-4o-mini
A,A_sf_hom,scale-free,homogeneous-conspiracy,scopex_2017,complete,177,5,4.5,4.2835,4.5789,true,2,2,false,,0.0247,1.5357,A_sf_hom_2026-09-18_04-36-11,gpt-4o-mini
A,A_sf_hom,scale-free,homogeneous-conspiracy,chemtrails_gates_2018_2021,complete,172,5,4.2903,4.1178,4.1875,true,1,1,false,0,0.0067,1.5357,A_sf_hom_2026-09-18_04-36-11,gpt-4o-mini
A,A_sf_hom,scale-free,homogeneous-conspiracy,sai_geoengineering,complete,181,5,1.75,1.4783,1.8947,true,,,false,7,0.1173,1.5357,A_sf_hom_2026-09-18_04-36-11,gpt-4o-mini
A,A_sf_hom,scale-free,homogeneous-conspiracy,paris_agreement,complete,181,5,5,4.836,4.9524,true,1,1,false,1,0.012,1.5357,A_sf_hom_2026-09-18_04-36-11,gpt-4o-mini
A,A_sf_hom,scale-free,homogeneous-conspiracy,climate_consensus,complete,178,5,5,4.6878,5,true,3,3,false,2,0.0289,1.5357,A_sf_hom_2026-09-18_04-36-11,gpt-4o-mini
A,A_sf_hom,scale-free,homogeneous-conspiracy,polar_bears,complete,181,2,0.5,0.42,0.6,false,,,false,,0.1467,1.5357,A_sf_hom_2026-09-18_04-36-11,gpt-4o-mini
