experiment,experimentName,topology,bpMix,articleId,status,totalEvents,maxEventMI,maxNetworkMeanMI,meanNodeMPR,maxNodeMPR,propagandaOccurred,kStar_network,firstMeanMiOver3,networkRecoveredAfterPropaganda,kStar_hop,giniCoefficient,structuralVirality,runDir,model
H,H_science_journalist,linear_chain,homogeneous:science_journalist,scopex_2017,complete,8,1,1,0.875,1,false,,,false,,0.125,3,H_science_journalist_2026-09-18_04-08-22,gpt-4o-mini
H,H_science_journalist,linear_chain,homogeneous:science_journalist,chemtrails_gates_2018_2021,complete,5,1,1,0.375,1,false,,,false,,0.25,1.6667,H_science_journalist_2026-09-18_04-08-22,gpt-4o-mini
H,H_science_journalist,linear_chain,homogeneous:science_journalist,sai_geoengineering,complete,8,1,1,0.625,1,false,,,false,,0.375,3,H_science_journalist_2026-09-18_04-08-22,gpt-4o-mini
H,H_science_journalist,linear_chain,homogeneous:science_journalist,spice_uk_cancelled,complete,8,0,0,0,0,false,,,false,,0,3,H_science_journalist_2026-09-18_04-08-22,gpt-4o-mini
H,H_science_journalist,linear_chain,homogeneous:science_journalist,paris_agreement,complete,3,1,1,0.25,1,false,,,false,,0,1,H_science_journalist_2026-09-18_04-08-22,gpt-4o-mini
H,H_science_journalist,linear_chain,homogeneous:science_journalist,climate_consensus,complete,8,2,2,1.25,2,false,,,false,,0.35,3,H_science_journalist_2026-09-18_04-08-22,gpt-4o-mini
H,H_science_journalist,linear_chain,homogeneous:science_journalist,glaciers_retreat,complete,1,0,0,0,0,false,,,false,,0,0,H_science_journalist_2026-09-18_04-08-22,gpt-4o-mini
H,H_science_journalist,linear_chain,homogeneous:science_journalist,polar_bears,complete,8,2,2,0.75,2,false,,,false,,0.5833,3,H_science_journalist_2026-09-18_04-08-22,gpt-4o-mini
H,H_science_journalist,linear_chain,homogeneous:science_journalist,co2_fertilization,complete,5,1,1,0.5,1,false,,,false,,0,1.6667,H_science_journalist_2026-09-18_04-08-22,gpt-4o-mini
H,H_science_journalist,linear_chain,homogeneous:science_journalist,sea_level_rise,complete,8,2,2,1.625,2,false,,,false,,0.1442,3,H_science_journalist_2026-09-18_04-08-22,gpt-4o-mini
H,H_science_journalist,linear_chain,homogeneous:science_journalist,net_zero,complete,5,0,0,0,0,false,,,false,,0,1.6667,H_science_journalist_2026-09-18_04-08-22,gpt-4o-mini
H,H_science_journalist,linear_chain,homogeneous:science_journalist,attribution_extremes,complete,2,0,0,0,0,false,,,false,,0,0,H_science_journalist_2026-09-18_04-08-22,gpt-4o-mini
H,H_climate_scientist,linear_chain,homogeneous:climate_scientist,scopex_2017,complete,8,0,0,0,0,false,,,false,,0,2.6667,H_climate_scientist_2026-09-18_04-06-57,gpt-4o-mini
H,H_climate_scientist,linear_chain,homogeneous:climate_scientist,chemtrails_gates_2018_2021,complete,7,0,0,0,0,false,,,false,,0,2.3333,H_climate_scientist_2026-09-18_04-06-57,gpt-4o-mini
H,H_climate_scientist,linear_chain,homogeneous:climate_scientist,sai_geoengineering,complete,8,2,2,1.375,2,false,,,false,,0.1705,3,H_climate_scientist_2026-09-18_04-06-57,gpt-4o-mini
H,H_climate_scientist,linear_chain,homogeneous:climate_scientist,spice_uk_cancelled,complete,8,0,0,0,0,false,,,false,,0,3,H_climate_scientist_2026-09-18_04-06-57,gpt-4o-mini
H,H_climate_scientist,linear_chain,homogeneous:climate_scientist,paris_agreement,complete,8,2,2,1.125,2,false,,,false,,0.2639,3,H_climate_scientist_2026-09-18_04-06-57,gpt-4o-mini
H,H_climate_scientist,linear_chain,homogeneous:climate_scientist,climate_consensus,complete,8,1,1,0.75,1,false,,,false,,0.25,3,H_climate_scientist_2026-09-18_04-06-57,gpt-4o-mini
H,H_climate_scientist,linear_chain,homogeneous:climate_scientist,glaciers_retreat,complete,8,1,1,0.125,1,false,,,false,,0.875,3,H_climate_scientist_2026-09-18_04-06-57,gpt-4o-mini
