experiment,experimentName,topology,bpMix,articleId,status,totalEvents,maxEventMI,maxNetworkMeanMI,meanNodeMPR,maxNodeMPR,propagandaOccurred,kStar_network,firstMeanMiOver3,networkRecoveredAfterPropaganda,kStar_hop,giniCoefficient,structuralVirality,runDir,model
He,He_mix_11,linear_chain,heterogeneous:mix_11,scopex_2017,complete,8,5,5,4,5,true,,2,true,1,0.1328,3,He_mix_11_2026-09-18_04-31-03,gpt-4o-mini
He,He_mix_11,linear_chain,heterogeneous:mix_11,chemtrails_gates_2018_2021,complete,8,5,5,3.75,5,true,,2,true,1,0.1583,3,He_mix_11_2026-09-18_04-31-03,gpt-4o-mini
He,He_mix_11,linear_chain,heterogeneous:mix_11,sai_geoengineering,complete,8,4,4,1.5,4,true,,2,true,1,0.5417,3,He_mix_11_2026-09-18_04-31-03,gpt-4o-mini
He,He_mix_11,linear_chain,heterogeneous:mix_11,spice_uk_cancelled,complete,8,4,4,3.125,4,true,8,8,false,7,0.035,3,He_mix_11_2026-09-18_04-31-03,gpt-4o-mini
He,He_mix_11,linear_chain,heterogeneous:mix_11,paris_agreement,complete,8,5,5,4,5,true,,2,true,1,0.1797,3,He_mix_11_2026-09-18_04-31-03,gpt-4o-mini
He,He_mix_11,linear_chain,heterogeneous:mix_11,climate_consensus,complete,8,5,5,3.25,5,true,,2,true,1,0.3365,3,He_mix_11_2026-09-18_04-31-03,gpt-4o-mini
He,He_mix_11,linear_chain,heterogeneous:mix_11,glaciers_retreat,complete,8,5,5,3,5,true,,5,true,4,0.2708,3,He_mix_11_2026-09-18_04-31-03,gpt-4o-mini
He,He_mix_11,linear_chain,heterogeneous:mix_11,polar_bears,complete,8,2,2,0.625,2,false,,,false,,0.675,3,He_mix_11_2026-09-18_04-31-03,gpt-4o-mini
He,He_mix_11,linear_chain,heterogeneous:mix_11,co2_fertilization,complete,8,5,5,2.75,5,true,5,5,false,4,0.3409,3,He_mix_11_2026-09-18_04-31-03,gpt-4o-mini
He,He_mix_11,linear_chain,heterogeneous:mix_11,sea_level_rise,complete,4,4,4,1.125,4,true,3,3,false,2,0.1481,1.3333,He_mix_11_2026-09-18_04-31-03,gpt-4o-mini
He,He_mix_11,linear_chain,heterogeneous:mix_11,net_zero,complete,5,4,4,1.125,4,true,,2,true,1,0.3611,1.6667,He_mix_11_2026-09-18_04-31-03,gpt-4o-mini
He,He_mix_11,linear_chain,heterogeneous:mix_11,attribution_extremes,complete,8,5,5,1.75,5,true,7,7,false,6,0.6071,3,He_mix_11_2026-09-18_04-31-03,gpt-4o-mini
He,He_mix_10,linear_chain,heterogeneous:mix_10,scopex_2017,complete,8,5,5,2,5,true,6,6,false,5,0.5625,3,He_mix_10_2026-09-18_04-29-08,gpt-4o-mini
He,He_mix_10,linear_chain,heterogeneous:mix_10,chemtrails_gates_2018_2021,complete,8,5,5,3.125,5,true,6,6,false,5,0.225,3,He_mix_10_2026-09-18_04-29-08,gpt-4o-mini
He,He_mix_10,linear_chain,heterogeneous:mix_10,sai_geoengineering,complete,6,3,3,0.625,3,false,,,false,,0.56,2,He_mix_10_2026-09-18_04-29-08,gpt-4o-mini
He,He_mix_10,linear_chain,heterogeneous:mix_10,spice_uk_cancelled,complete,8,3,3,0.75,3,false,,,false,,0.7083,3,He_mix_10_2026-09-18_04-29-08,gpt-4o-mini
He,He_mix_10,linear_chain,heterogeneous:mix_10,paris_agreement,complete,4,2,2,0.5,2,false,,,false,,0.3333,1.3333,He_mix_10_2026-09-18_04-29-08,gpt-4o-mini
He,He_mix_10,linear_chain,heterogeneous:mix_10,climate_consensus,complete,1,0,0,0,0,false,,,false,,0,0,He_mix_10_2026-09-18_04-29-08,gpt-4o-mini
He,He_mix_10,linear_chain,heterogeneous:mix_10,glaciers_retreat,complete,8,3,3,1.125,3,false,,,false,,0.5972,3,He_mix_10_2026-09-18_04-29-08,gpt-4o-mini
He,He_mix_10,linear_chain,heterogeneous:mix_10,polar_bears,complete,4,2,2,0.625,2,false,,,false,,0.1333,1.3333,He_mix_10_2026-09-18_04-29-08,gpt-4o-mini
He,He_mix_10,linear_chain,heterogeneous:mix_10,co2_fertilization,complete,8,2,2,1.25,2,false,,,false,,0.275,3,He_mix_10_2026-09-18_04-29-08,gpt-4o-mini
He,He_mix_10,linear_chain,heterogeneous:mix_10,sea_level_rise,complete,8,2,2,1.75,2,false,,,false,,0.1071,3,He_mix_10_2026-09-18_04-29-08,gpt-4o-mini
He,He_mix_10,linear_chain,heterogeneous:mix_10,net_zero,complete,5,0,0,0,0,false,,,false,,0,1.6667,He_mix_10_2026-09-18_04-29-08,gpt-4o-mini
He,He_mix_10,linear_chain,heterogeneous:mix_10,attribution_extremes,complete,4,0,0,0,0,false,,,false,,0,1.3333,He_mix_10_2026-09-18_04-29-08,gpt-4o-mini
He,He_mix_09,linear_chain,heterogeneous:mix_09,scopex_2017,complete,8,3,3,1.25,3,false,,,false,,0.425,3,He_mix_09_2026-09-18_04-27-24,gpt-4o-mini
He,He_mix_09,linear_chain,heterogeneous:mix_09,chemtrails_gates_2018_2021,complete,3,1,1,0.125,1,false,,,false,,0.5,1,He_mix_09_2026-09-18_04-27-24,gpt-4o-mini
He,He_mix_09,linear_chain,heterogeneous:mix_09,sai_geoengineering,complete,1,0,0,0,0,false,,,false,,0,0,He_mix_09_2026-09-18_04-27-24,gpt-4o-mini
He,He_mix_09,linear_chain,heterogeneous:mix_09,spice_uk_cancelled,complete,8,2,2,0.25,2,false,,,false,,0.875,3,He_mix_09_2026-09-18_04-27-24,gpt-4o-mini
He,He_mix_09,linear_chain,heterogeneous:mix_09,paris_agreement,complete,8,5,5,2.5,5,true,,4,true,3,0.3625,3,He_mix_09_2026-09-18_04-27-24,gpt-4o-mini
He,He_mix_09,linear_chain,heterogeneous:mix_09,climate_consensus,complete,8,5,5,3.25,5,true,,4,true,3,0.2788,3,He_mix_09_2026-09-18_04-27-24,gpt-4o-mini
He,He_mix_09,linear_chain,heterogeneous:mix_09,glaciers_retreat,complete,8,3,3,1.25,3,false,,,false,,0.55,3,He_mix_09_2026-09-18_04-27-24,gpt-4o-mini
He,He_mix_09,linear_chain,heterogeneous:mix_09,polar_bears,complete,8,3,3,1.375,3,false,,,false,,0.4205,3,He_mix_09_2026-09-18_04-27-24,gpt-4o-mini
He,He_mix_09,linear_chain,heterogeneous:mix_09,co2_fertilization,complete,8,5,5,1.875,5,true,,7,true,6,0.3583,3,He_mix_09_2026-09-18_04-27-24,gpt-4o-mini
He,He_mix_09,linear_chain,heterogeneous:mix_09,sea_level_rise,complete,8,3,3,2,3,false,,,false,,0.1094,3,He_mix_09_2026-09-18_04-27-24,gpt-4o-mini
He,He_mix_09,linear_chain,heterogeneous:mix_09,net_zero,complete,8,5,5,3,5,true,4,4,false,3,0.375,3,He_mix_09_2026-09-18_04-27-24,gpt-4o-mini
He,He_mix_09,linear_chain,heterogeneous:mix_09,attribution_extremes,complete,8,3,3,1.375,3,false,,,false,,0.4886,3,He_mix_09_2026-09-18_04-27-24,gpt-4o-mini
