experiment,experimentName,topology,bpMix,articleId,status,totalEvents,maxEventMI,maxNetworkMeanMI,meanNodeMPR,maxNodeMPR,propagandaOccurred,kStar_network,firstMeanMiOver3,networkRecoveredAfterPropaganda,kStar_hop,giniCoefficient,structuralVirality,runDir,model
D,D_echo_mix,echo-chamber,mixed-8BP,chemtrails_gates_2018_2021,complete,151,5,4.6667,3.3535,4.9,true,1,1,false,0,0.1611,1.6667,D_echo_mix_2026-09-18_06-08-40,gpt-4o-mini
B,B_sf_mix_n5,scale-free,mixed-8BP,chemtrails_gates_2018_2021,complete,160,5,2.875,2.2776,3.3333,true,,,false,,0.1376,1.8611,B_sf_mix_n5_2026-09-18_06-03-18,gpt-4o-mini
B,B_sf_mix_n3,scale-free,mixed-8BP,chemtrails_gates_2018_2021,complete,189,5,4.0769,3.2661,4.05,true,4,4,false,,0.0945,1.4444,B_sf_mix_n3_2026-09-18_05-56-49,gpt-4o-mini
B,B_sf_mix_n1,scale-free,mixed-8BP,chemtrails_gates_2018_2021,complete,179,5,3.7692,3.0277,3.8421,true,5,5,false,,0.0985,1.4167,B_sf_mix_n1_2026-09-18_05-51-25,gpt-4o-mini
A,A_er_hom,random-ER,homogeneous-conspiracy,scopex_2017,complete,163,5,4,3.5388,4,true,2,2,false,,0.0326,1.25,A_er_hom_2026-09-18_05-24-05,gpt-4o-mini
A,A_er_hom,random-ER,homogeneous-conspiracy,chemtrails_gates_2018_2021,complete,136,5,4.1111,3.8183,4.25,true,4,4,false,3,0.0469,1.25,A_er_hom_2026-09-18_05-24-05,gpt-4o-mini
A,A_er_hom,random-ER,homogeneous-conspiracy,sai_geoengineering,complete,155,4,2.5,1.6006,1.8333,true,,,false,7,0.062,1.25,A_er_hom_2026-09-18_05-24-05,gpt-4o-mini
A,A_er_hom,random-ER,homogeneous-conspiracy,paris_agreement,complete,158,5,5,4.9168,5,true,1,1,false,1,0.0055,1.25,A_er_hom_2026-09-18_05-24-05,gpt-4o-mini
A,A_er_hom,random-ER,homogeneous-conspiracy,climate_consensus,complete,159,5,5,5,5,true,1,1,false,0,0,1.2857,A_er_hom_2026-09-18_05-24-05,gpt-4o-mini
A,A_er_hom,random-ER,homogeneous-conspiracy,polar_bears,complete,145,5,2,0.8479,1,true,,,false,7,0.121,1.2857,A_er_hom_2026-09-18_05-24-05,gpt-4o-mini
A,A_er_mix,random-ER,mixed-8BP,scopex_2017,complete,147,5,3.64,2.913,3.8333,true,,3,true,,0.0516,1.2857,A_er_mix_2026-09-18_05-24-05,gpt-4o-mini
A,A_er_mix,random-ER,mixed-8BP,chemtrails_gates_2018_2021,complete,145,5,4.0435,3.2335,4.4118,true,1,1,false,,0.0778,1.3333,A_er_mix_2026-09-18_05-24-05,gpt-4o-mini
A,A_er_mix,random-ER,mixed-8BP,sai_geoengineering,complete,150,4,3,0.8331,1.6875,true,,,false,7,0.2233,1.2857,A_er_mix_2026-09-18_05-24-05,gpt-4o-mini
A,A_er_mix,random-ER,mixed-8BP,paris_agreement,complete,143,5,5,3.9129,4.8,true,1,1,false,0,0.0319,1.2857,A_er_mix_2026-09-18_05-24-05,gpt-4o-mini
