experimentName,articleId,topology,bpMix,edgeHomophily,conspiracyHomophily,modularityConspiracy,PI
D_echo_mix,chemtrails_gates_2018_2021,echo-chamber,mixed-8BP,0.44,0.8,0.2948,3.0181
B_sf_mix_n5,chemtrails_gates_2018_2021,scale-free,mixed-8BP,0,0.5385,0.1435,1.0157
B_sf_mix_n3,chemtrails_gates_2018_2021,scale-free,mixed-8BP,0,0.3077,0.0185,0.9513
B_sf_mix_n1,chemtrails_gates_2018_2021,scale-free,mixed-8BP,0,0.6923,0.2152,1.0744
A_er_hom,scopex_2017,random-ER,homogeneous-conspiracy,1,1,0.3932,
A_er_hom,chemtrails_gates_2018_2021,random-ER,homogeneous-conspiracy,1,1,0.3932,
A_er_hom,sai_geoengineering,random-ER,homogeneous-conspiracy,1,1,0.3932,
A_er_hom,paris_agreement,random-ER,homogeneous-conspiracy,1,1,0.3932,
A_er_hom,climate_consensus,random-ER,homogeneous-conspiracy,1,1,0.3932,
A_er_hom,polar_bears,random-ER,homogeneous-conspiracy,1,1,0.3932,
A_er_mix,scopex_2017,random-ER,mixed-8BP,0,0.3333,0.0482,1.041
A_er_mix,chemtrails_gates_2018_2021,random-ER,mixed-8BP,0,0.3333,0.0482,1.738
A_er_mix,sai_geoengineering,random-ER,mixed-8BP,0,0.3333,0.0482,0.6376
A_er_mix,paris_agreement,random-ER,mixed-8BP,0,0.3333,0.0482,1.204
A_er_mix,climate_consensus,random-ER,mixed-8BP,0,0.3333,0.0482,1.2015
A_er_mix,polar_bears,random-ER,mixed-8BP,0,0.3333,0.0482,0
A_sf_mix,scopex_2017,scale-free,mixed-8BP,0,0.4615,0.1006,0
A_sf_mix,chemtrails_gates_2018_2021,scale-free,mixed-8BP,0,0.4615,0.1006,0
A_sf_mix,sai_geoengineering,scale-free,mixed-8BP,0,0.4615,0.1006,0
A_sf_mix,paris_agreement,scale-free,mixed-8BP,0,0.4615,0.1006,0.5238
A_sf_mix,climate_consensus,scale-free,mixed-8BP,0,0.4615,0.1006,0.2158
A_sf_mix,polar_bears,scale-free,mixed-8BP,0,0.4615,0.1006,0.0277
A_sf_hom,scopex_2017,scale-free,homogeneous-conspiracy,1,1,0.355,
A_sf_hom,chemtrails_gates_2018_2021,scale-free,homogeneous-conspiracy,1,1,0.355,
A_sf_hom,sai_geoengineering,scale-free,homogeneous-conspiracy,1,1,0.355,
A_sf_hom,paris_agreement,scale-free,homogeneous-conspiracy,1,1,0.355,
A_sf_hom,climate_consensus,scale-free,homogeneous-conspiracy,1,1,0.355,
A_sf_hom,polar_bears,scale-free,homogeneous-conspiracy,1,1,0.355,
