slice,config,experimentName,persona_or_mix,topology,miScoringMode,articleId,numNodes,maxTicks,maxHops,seedNodes,outputRoot,status,skipped,completed,dead,deadKind,nScored,meanMI,reason,runDir
T2c_H,thesisExperiment/configs/phase2/T2c_H_polarized_biodiversity_food_security.json,T2c_H_polarized_biodiversity_food_security,biodiversity_food_security,polarized,continuous,scopex_2017,8,8,8,node_0,thesisExperiment/runs_phase2,not_started,False,False,False,blocked_no_key,,,OPENAI_API_KEY missing (length=0); polarized campaign aborted before probe,
T2c_H,thesisExperiment/configs/phase2/T2c_H_polarized_biodiversity_food_security.json,T2c_H_polarized_biodiversity_food_security,biodiversity_food_security,polarized,continuous,chemtrails_gates_2018_2021,8,8,8,node_0,thesisExperiment/runs_phase2,not_started,False,False,False,blocked_no_key,,,OPENAI_API_KEY missing (length=0); polarized campaign aborted before probe,
T2c_H,thesisExperiment/configs/phase2/T2c_H_polarized_biodiversity_food_security.json,T2c_H_polarized_biodiversity_food_security,biodiversity_food_security,polarized,continuous,sai_geoengineering,8,8,8,node_0,thesisExperiment/runs_phase2,not_started,False,False,False,blocked_no_key,,,OPENAI_API_KEY missing (length=0); polarized campaign aborted before probe,
T2c_H,thesisExperiment/configs/phase2/T2c_H_polarized_biodiversity_food_security.json,T2c_H_polarized_biodiversity_food_security,biodiversity_food_security,polarized,continuous,paris_agreement,8,8,8,node_0,thesisExperiment/runs_phase2,not_started,False,False,False,blocked_no_key,,,OPENAI_API_KEY missing (length=0); polarized campaign aborted before probe,
T2c_H,thesisExperiment/configs/phase2/T2c_H_polarized_biodiversity_food_security.json,T2c_H_polarized_biodiversity_food_security,biodiversity_food_security,polarized,continuous,climate_consensus,8,8,8,node_0,thesisExperiment/runs_phase2,not_started,False,False,False,blocked_no_key,,,OPENAI_API_KEY missing (length=0); polarized campaign aborted before probe,
T2c_H,thesisExperiment/configs/phase2/T2c_H_polarized_biodiversity_food_security.json,T2c_H_polarized_biodiversity_food_security,biodiversity_food_security,polarized,continuous,polar_bears,8,8,8,node_0,thesisExperiment/runs_phase2,not_started,False,False,False,blocked_no_key,,,OPENAI_API_KEY missing (length=0); polarized campaign aborted before probe,
T2c_H,thesisExperiment/configs/phase2/T2c_H_polarized_climate_action_advocate.json,T2c_H_polarized_climate_action_advocate,climate_action_advocate,polarized,continuous,scopex_2017,8,8,8,node_0,thesisExperiment/runs_phase2,not_started,False,False,False,blocked_no_key,,,OPENAI_API_KEY missing (length=0); polarized campaign aborted before probe,
T2c_H,thesisExperiment/configs/phase2/T2c_H_polarized_climate_action_advocate.json,T2c_H_polarized_climate_action_advocate,climate_action_advocate,polarized,continuous,chemtrails_gates_2018_2021,8,8,8,node_0,thesisExperiment/runs_phase2,not_started,False,False,False,blocked_no_key,,,OPENAI_API_KEY missing (length=0); polarized campaign aborted before probe,
T2c_H,thesisExperiment/configs/phase2/T2c_H_polarized_climate_action_advocate.json,T2c_H_polarized_climate_action_advocate,climate_action_advocate,polarized,continuous,sai_geoengineering,8,8,8,node_0,thesisExperiment/runs_phase2,not_started,False,False,False,blocked_no_key,,,OPENAI_API_KEY missing (length=0); polarized campaign aborted before probe,
T2c_H,thesisExperiment/configs/phase2/T2c_H_polarized_climate_action_advocate.json,T2c_H_polarized_climate_action_advocate,climate_action_advocate,polarized,continuous,paris_agreement,8,8,8,node_0,thesisExperiment/runs_phase2,not_started,False,False,False,blocked_no_key,,,OPENAI_API_KEY missing (length=0); polarized campaign aborted before probe,
T2c_H,thesisExperiment/configs/phase2/T2c_H_polarized_climate_action_advocate.json,T2c_H_polarized_climate_action_advocate,climate_action_advocate,polarized,continuous,climate_consensus,8,8,8,node_0,thesisExperiment/runs_phase2,not_started,False,False,False,blocked_no_key,,,OPENAI_API_KEY missing (length=0); polarized campaign aborted before probe,
T2c_H,thesisExperiment/configs/phase2/T2c_H_polarized_climate_action_advocate.json,T2c_H_polarized_climate_action_advocate,climate_action_advocate,polarized,continuous,polar_bears,8,8,8,node_0,thesisExperiment/runs_phase2,not_started,False,False,False,blocked_no_key,,,OPENAI_API_KEY missing (length=0); polarized campaign aborted before probe,
T2c_H,thesisExperiment/configs/phase2/T2c_H_polarized_climate_justice_youth.json,T2c_H_polarized_climate_justice_youth,climate_justice_youth,polarized,continuous,scopex_2017,8,8,8,node_0,thesisExperiment/runs_phase2,not_started,False,False,False,blocked_no_key,,,OPENAI_API_KEY missing (length=0); polarized campaign aborted before probe,
T2c_H,thesisExperiment/configs/phase2/T2c_H_polarized_climate_justice_youth.json,T2c_H_polarized_climate_justice_youth,climate_justice_youth,polarized,continuous,chemtrails_gates_2018_2021,8,8,8,node_0,thesisExperiment/runs_phase2,not_started,False,False,False,blocked_no_key,,,OPENAI_API_KEY missing (length=0); polarized campaign aborted before probe,
