slice,experimentName,config,topology,miScoringMode,persona_or_mix,articleId,status,dead_1event,reason
T2c_H,T2c_H_scale_free_biodiversity_food_security,thesisExperiment/configs/phase2/T2c_H_scale_free_biodiversity_food_security.json,scale_free,continuous,biodiversity_food_security,scopex_2017,not_started,no,OPENAI_API_KEY missing (length=0); all four slices aborted before probe
T2c_H,T2c_H_scale_free_biodiversity_food_security,thesisExperiment/configs/phase2/T2c_H_scale_free_biodiversity_food_security.json,scale_free,continuous,biodiversity_food_security,chemtrails_gates_2018_2021,not_started,no,OPENAI_API_KEY missing (length=0); all four slices aborted before probe
T2c_H,T2c_H_scale_free_biodiversity_food_security,thesisExperiment/configs/phase2/T2c_H_scale_free_biodiversity_food_security.json,scale_free,continuous,biodiversity_food_security,sai_geoengineering,not_started,no,OPENAI_API_KEY missing (length=0); all four slices aborted before probe
T2c_H,T2c_H_scale_free_biodiversity_food_security,thesisExperiment/configs/phase2/T2c_H_scale_free_biodiversity_food_security.json,scale_free,continuous,biodiversity_food_security,paris_agreement,not_started,no,OPENAI_API_KEY missing (length=0); all four slices aborted before probe
T2c_H,T2c_H_scale_free_biodiversity_food_security,thesisExperiment/configs/phase2/T2c_H_scale_free_biodiversity_food_security.json,scale_free,continuous,biodiversity_food_security,climate_consensus,not_started,no,OPENAI_API_KEY missing (length=0); all four slices aborted before probe
T2c_H,T2c_H_scale_free_biodiversity_food_security,thesisExperiment/configs/phase2/T2c_H_scale_free_biodiversity_food_security.json,scale_free,continuous,biodiversity_food_security,polar_bears,not_started,no,OPENAI_API_KEY missing (length=0); all four slices aborted before probe
T2c_H,T2c_H_scale_free_climate_action_advocate,thesisExperiment/configs/phase2/T2c_H_scale_free_climate_action_advocate.json,scale_free,continuous,climate_action_advocate,scopex_2017,not_started,no,OPENAI_API_KEY missing (length=0); all four slices aborted before probe
T2c_H,T2c_H_scale_free_climate_action_advocate,thesisExperiment/configs/phase2/T2c_H_scale_free_climate_action_advocate.json,scale_free,continuous,climate_action_advocate,chemtrails_gates_2018_2021,not_started,no,OPENAI_API_KEY missing (length=0); all four slices aborted before probe
T2c_H,T2c_H_scale_free_climate_action_advocate,thesisExperiment/configs/phase2/T2c_H_scale_free_climate_action_advocate.json,scale_free,continuous,climate_action_advocate,sai_geoengineering,not_started,no,OPENAI_API_KEY missing (length=0); all four slices aborted before probe
T2c_H,T2c_H_scale_free_climate_action_advocate,thesisExperiment/configs/phase2/T2c_H_scale_free_climate_action_advocate.json,scale_free,continuous,climate_action_advocate,paris_agreement,not_started,no,OPENAI_API_KEY missing (length=0); all four slices aborted before probe
T2c_H,T2c_H_scale_free_climate_action_advocate,thesisExperiment/configs/phase2/T2c_H_scale_free_climate_action_advocate.json,scale_free,continuous,climate_action_advocate,climate_consensus,not_started,no,OPENAI_API_KEY missing (length=0); all four slices aborted before probe
