
=== 2026-09-19T03:10:51.794Z  node index.js --config thesisExperiment/configs/phase2/T2c_H_random_er_climate_action_advocate.json
Loaded run config from: thesisExperiment/configs/phase2/T2c_H_random_er_climate_action_advocate.json

[Simulation] Experiment: T2c_H_random_er_climate_action_advocate_2026-09-19_03-10-51
[Simulation] Dir: /workspace/thesisExperiment/runs_phase2/T2c_H_random_er_climate_action_advocate_2026-09-19_03-10-51


[Simulation] === Propagating: scopex_2017 ===
[Simulation]   Tick 1/8
[Simulation]     node_0 (Climate Action Advocate (Debnath non-conspiracy stream)): 1 message(s)
[Simulation]   Tick 2/8
[Simulation]     node_3 (Climate Action Advocate (Debnath non-conspiracy stream)): 1 message(s)
[Simulation]     node_4 (Climate Action Advocate (Debnath non-conspiracy stream)): 1 message(s)
[Simulation]     node_5 (Climate Action Advocate (Debnath non-conspiracy stream)): 1 message(s)
[Simulation]   Tick 3/8
[Simulation]     node_2 (Climate Action Advocate (Debnath non-conspiracy stream)): 2 message(s)
[Simulation]     node_3 (Climate Action Advocate (Debnath non-conspiracy stream)): 1 message(s)
[Simulation]     node_6 (Climate Action Advocate (Debnath non-conspiracy stream)): 1 message(s)
[Simulation]     node_7 (Climate Action Advocate (Debnath non-conspiracy stream)): 1 message(s)
[Simulation]   Tick 4/8
[Simulation]     node_0 (Climate Action Advocate (Debnath non-conspiracy stream)): 1 message(s)
[Simulation]     node_1 (Climate Action Advocate (Debnath non-conspiracy stream)): 2 message(s)
[Simulation]     node_2 (Climate Action Advocate (Debnath non-conspiracy stream)): 1 message(s)
[Simulation]     node_3 (Climate Action Advocate (Debnath non-conspiracy stream)): 1 message(s)
[Simulation]     node_5 (Climate Action Advocate (Debnath non-conspiracy stream)): 1 message(s)
[Simulation]     node_6 (Climate Action Advocate (Debnath non-conspiracy stream)): 1 message(s)
[Simulation]     node_7 (Climate Action Advocate (Debnath non-conspiracy stream)): 1 message(s)
[Simulation]   Tick 5/8
[Simulation]     node_0 (Climate Action Advocate (Debnath non-conspiracy stream)): 1 message(s)
[Simulation]     node_1 (Climate Action Advocate (Debnath non-conspiracy stream)): 2 message(s)
[Simulation]     node_2 (Climate Action Advocate (Debnath non-conspiracy stream)): 2 message(s)
[Simulation]     node_3 (Climate Action Advocate (Debnath non-conspiracy stream)): 4 message(s)
[Simulation]     node_4 (Climate Action Advocate (Debnath non-conspiracy stream)): 3 message(s)
[Simulation]     node_5 (Climate Action Advocate (Debnath non-conspiracy stream)): 2 message(s)
[Simulation]     node_6 (Climate Action Advocate (Debnath non-conspiracy stream)): 2 message(s)
[Simulation]     node_7 (Climate Action Advocate (Debnath non-conspiracy stream)): 1 message(s)
[Simulation]   Tick 6/8
[Simulation]     node_0 (Climate Action Advocate (Debnath non-conspiracy stream)): 1 message(s)
[Simulation]     node_1 (Climate Action Advocate (Debnath non-conspiracy stream)): 2 message(s)
[Simulation]     node_2 (Climate Action Advocate (Debnath non-conspiracy stream)): 4 message(s)
[Simulation]     node_3 (Climate Action Advocate (Debnath non-conspiracy stream)): 4 message(s)
[Simulation]     node_4 (Climate Action Advocate (Debnath non-conspiracy stream)): 3 message(s)
[Simulation]     node_5 (Climate Action Advocate (Debnath non-conspiracy stream)): 3 message(s)
[Simulation]     node_6 (Climate Action Advocate (Debnath non-conspiracy stream)): 4 message(s)
[Simulation]     node_7 (Climate Action Advocate (Debnath non-conspiracy stream)): 4 message(s)
[Simulation]   Tick 7/8
[Simulation]     node_0 (Climate Action Advocate (Debnath non-conspiracy stream)): 3 message(s)
[Simulation]     node_1 (Climate Action Advocate (Debnath non-conspiracy stream)): 4 message(s)
[Simulation]     node_2 (Climate Action Advocate (Debnath non-conspiracy stream)): 4 message(s)
[Simulation]     node_3 (Climate Action Advocate (Debnath non-conspiracy stream)): 4 message(s)
[Simulation]     node_4 (Climate Action Advocate (Debnath non-conspiracy stream)): 2 message(s)
[Simulation]     node_5 (Climate Action Advocate (Debnath non-conspiracy stream)): 4 message(s)
[Simulation]     node_6 (Climate Action Advocate (Debnath non-conspiracy stream)): 4 message(s)
[Simulation]     node_7 (Climate Action Advocate (Debnath non-conspiracy stream)): 2 message(s)
[Simulation]   Tick 8/8
[Simulation]     node_0 (Climate Action Advocate (Debnath non-conspiracy stream)): 4 message(s)
[Simulation]     node_1 (Climate Action Advocate (Debnath non-conspiracy stream)): 4 message(s)
[Simulation]     node_2 (Climate Action Advocate (Debnath non-conspiracy stream)): 4 message(s)
