
=== 2026-09-19T04:16:35.847Z  node index.js --config thesisExperiment/configs/phase2/T2c_H_small_world_biodiversity_food_security.json
[env] Loaded from .env:
[env]   OPENAI_API_KEY = sk-proj… (len=164)
Loaded run config from: thesisExperiment/configs/phase2/T2c_H_small_world_biodiversity_food_security.json

[Simulation] Experiment: T2c_H_small_world_biodiversity_food_security_2026-09-19_04-16-35
[Simulation] Dir: /workspace/thesisExperiment/runs_phase2/T2c_H_small_world_biodiversity_food_security_2026-09-19_04-16-35


[Simulation] === Propagating: scopex_2017 ===
[Simulation]   Tick 1/8
[Simulation]     node_0 (Biodiversity and food-security concern (Debnath ecology/food terms)): 1 message(s)
[Simulation]   Tick 2/8
[Simulation]     node_2 (Biodiversity and food-security concern (Debnath ecology/food terms)): 1 message(s)
[Simulation]     node_4 (Biodiversity and food-security concern (Debnath ecology/food terms)): 1 message(s)
[Simulation]     node_6 (Biodiversity and food-security concern (Debnath ecology/food terms)): 1 message(s)
[Simulation]     node_7 (Biodiversity and food-security concern (Debnath ecology/food terms)): 1 message(s)
[Simulation]   Tick 3/8
[Simulation]     node_0 (Biodiversity and food-security concern (Debnath ecology/food terms)): 2 message(s)
[Simulation]     node_1 (Biodiversity and food-security concern (Debnath ecology/food terms)): 1 message(s)
[Simulation]     node_2 (Biodiversity and food-security concern (Debnath ecology/food terms)): 1 message(s)
[Simulation]     node_3 (Biodiversity and food-security concern (Debnath ecology/food terms)): 2 message(s)
[Simulation]     node_4 (Biodiversity and food-security concern (Debnath ecology/food terms)): 2 message(s)
[Simulation]     node_5 (Biodiversity and food-security concern (Debnath ecology/food terms)): 3 message(s)
[Simulation]     node_6 (Biodiversity and food-security concern (Debnath ecology/food terms)): 2 message(s)
[Simulation]     node_7 (Biodiversity and food-security concern (Debnath ecology/food terms)): 1 message(s)
[Simulation]   Tick 4/8
[Simulation]     node_0 (Biodiversity and food-security concern (Debnath ecology/food terms)): 3 message(s)
[Simulation]     node_1 (Biodiversity and food-security concern (Debnath ecology/food terms)): 3 message(s)
[Simulation]     node_2 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_3 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_4 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_5 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_6 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_7 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]   Tick 5/8
[Simulation]     node_0 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_1 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_2 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_3 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_4 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_5 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_6 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_7 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]   Tick 6/8
[Simulation]     node_0 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_1 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_2 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_3 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_4 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_5 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_6 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_7 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]   Tick 7/8
[Simulation]     node_0 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_1 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_2 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_3 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_4 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_5 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_6 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_7 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]   Tick 8/8
[Simulation]     node_0 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_1 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
