2026-09-18T20:39:36Z KEY_POLL_START window=600s interval=15s
2026-09-18T20:39:36Z poll=1 found=False length=0 extra=none
2026-09-18T20:39:51Z poll=2 found=False length=0 extra=none
2026-09-18T20:40:06Z poll=3 found=False length=0 extra=none
2026-09-18T20:40:21Z poll=4 found=False length=0 extra=none
2026-09-18T20:40:36Z poll=5 found=False length=0 extra=none
2026-09-18T20:40:51Z poll=6 found=False length=0 extra=none
2026-09-18T20:41:06Z poll=7 found=False length=0 extra=none
2026-09-18T20:41:21Z poll=8 found=False length=0 extra=none
2026-09-18T20:41:36Z poll=9 found=False length=0 extra=none
2026-09-18T20:41:51Z poll=10 found=False length=0 extra=none
2026-09-18T20:42:06Z poll=11 found=False length=0 extra=none
2026-09-18T20:42:21Z poll=12 found=False length=0 extra=none
2026-09-18T20:42:36Z poll=13 found=False length=0 extra=none
2026-09-18T20:42:51Z poll=14 found=False length=0 extra=none
2026-09-18T20:43:06Z poll=15 found=False length=0 extra=none
2026-09-18T20:43:21Z poll=16 found=False length=0 extra=none
2026-09-18T20:43:36Z poll=17 found=False length=0 extra=none
2026-09-18T20:43:51Z poll=18 found=False length=0 extra=none
2026-09-18T20:44:06Z poll=19 found=False length=0 extra=none
2026-09-18T20:44:21Z poll=20 found=False length=0 extra=none
2026-09-18T20:44:36Z poll=21 found=False length=0 extra=none
2026-09-18T20:44:51Z poll=22 found=False length=0 extra=none
2026-09-18T20:45:06Z poll=23 found=False length=0 extra=none
2026-09-18T20:45:21Z poll=24 found=False length=0 extra=none
2026-09-18T20:45:36Z poll=25 found=False length=0 extra=none
2026-09-18T20:45:51Z poll=26 found=False length=0 extra=none
2026-09-18T20:46:06Z poll=27 found=False length=0 extra=none
2026-09-18T20:46:21Z poll=28 found=False length=0 extra=none
2026-09-18T20:46:36Z poll=29 found=False length=0 extra=none
2026-09-18T20:46:51Z poll=30 found=False length=0 extra=none
2026-09-18T20:47:06Z poll=31 found=False length=0 extra=none
2026-09-18T20:47:21Z poll=32 found=False length=0 extra=none
2026-09-18T20:47:36Z poll=33 found=False length=0 extra=none
2026-09-18T20:47:51Z poll=34 found=False length=0 extra=none
2026-09-18T20:48:06Z poll=35 found=False length=0 extra=none
2026-09-18T20:48:21Z poll=36 found=False length=0 extra=none
2026-09-18T20:48:36Z poll=37 found=False length=0 extra=none
2026-09-18T20:48:51Z poll=38 found=False length=0 extra=none
2026-09-18T20:49:07Z poll=39 found=False length=0 extra=none
2026-09-18T20:49:22Z poll=40 found=False length=0 extra=none
2026-09-18T20:49:36Z poll=41 found=False length=0 extra=none
2026-09-18T20:49:36Z POLL_DONE {"found": false, "polls": 41, "length": 0, "source": null, "endedAt": "2026-09-18T20:49:36Z"}
