experimentName,topology,articleId,nEvents,nScored,meanContinuousMI,llmCalls,status,miScoringMode,runDir
T2c_H_linear_chain_biodiversity_food_security,linear_chain,scopex_2017,7,6,0.5,61,complete,continuous,T2c_H_linear_chain_biodiversity_food_security_2026-09-19_02-52-45
T2c_H_linear_chain_biodiversity_food_security,linear_chain,chemtrails_gates_2018_2021,6,5,1.0,61,complete,continuous,T2c_H_linear_chain_biodiversity_food_security_2026-09-19_02-52-45
T2c_H_linear_chain_biodiversity_food_security,linear_chain,sai_geoengineering,6,5,0.0,61,complete,continuous,T2c_H_linear_chain_biodiversity_food_security_2026-09-19_02-52-45
T2c_H_linear_chain_biodiversity_food_security,linear_chain,paris_agreement,8,8,0.0,61,complete,continuous,T2c_H_linear_chain_biodiversity_food_security_2026-09-19_02-52-45
T2c_H_linear_chain_biodiversity_food_security,linear_chain,climate_consensus,2,1,0.0,61,complete,continuous,T2c_H_linear_chain_biodiversity_food_security_2026-09-19_02-52-45
T2c_H_linear_chain_biodiversity_food_security,linear_chain,polar_bears,8,7,0.0,61,complete,continuous,T2c_H_linear_chain_biodiversity_food_security_2026-09-19_02-52-45
T2c_H_linear_chain_climate_action_advocate,linear_chain,scopex_2017,8,8,0.0,67,complete,continuous,T2c_H_linear_chain_climate_action_advocate_2026-09-19_02-50-46
T2c_H_linear_chain_climate_action_advocate,linear_chain,chemtrails_gates_2018_2021,8,8,0.9375,67,complete,continuous,T2c_H_linear_chain_climate_action_advocate_2026-09-19_02-50-46
T2c_H_linear_chain_climate_action_advocate,linear_chain,sai_geoengineering,3,2,0.0,67,complete,continuous,T2c_H_linear_chain_climate_action_advocate_2026-09-19_02-50-46
T2c_H_linear_chain_climate_action_advocate,linear_chain,paris_agreement,8,8,0.0,67,complete,continuous,T2c_H_linear_chain_climate_action_advocate_2026-09-19_02-50-46
T2c_H_linear_chain_climate_action_advocate,linear_chain,climate_consensus,4,3,0.0,67,complete,continuous,T2c_H_linear_chain_climate_action_advocate_2026-09-19_02-50-46
T2c_H_linear_chain_climate_action_advocate,linear_chain,polar_bears,8,8,0.0,67,complete,continuous,T2c_H_linear_chain_climate_action_advocate_2026-09-19_02-50-46
T2c_H_linear_chain_climate_justice_youth,linear_chain,scopex_2017,8,8,1.0625,66,complete,continuous,T2c_H_linear_chain_climate_justice_youth_2026-09-19_02-51-20
T2c_H_linear_chain_climate_justice_youth,linear_chain,chemtrails_gates_2018_2021,8,8,0.875,66,complete,continuous,T2c_H_linear_chain_climate_justice_youth_2026-09-19_02-51-20
T2c_H_linear_chain_climate_justice_youth,linear_chain,sai_geoengineering,8,8,0.0,66,complete,continuous,T2c_H_linear_chain_climate_justice_youth_2026-09-19_02-51-20
T2c_H_linear_chain_climate_justice_youth,linear_chain,paris_agreement,4,3,0.0,66,complete,continuous,T2c_H_linear_chain_climate_justice_youth_2026-09-19_02-51-20
T2c_H_linear_chain_climate_justice_youth,linear_chain,climate_consensus,8,8,0.75,66,complete,continuous,T2c_H_linear_chain_climate_justice_youth_2026-09-19_02-51-20
T2c_H_linear_chain_climate_justice_youth,linear_chain,polar_bears,2,1,0.0,66,complete,continuous,T2c_H_linear_chain_climate_justice_youth_2026-09-19_02-51-20
T2c_H_linear_chain_climate_scientist,linear_chain,scopex_2017,8,8,0.0,80,complete,continuous,T2c_H_linear_chain_climate_scientist_2026-09-19_02-53-23
T2c_H_linear_chain_climate_scientist,linear_chain,chemtrails_gates_2018_2021,8,8,0.0,80,complete,continuous,T2c_H_linear_chain_climate_scientist_2026-09-19_02-53-23
T2c_H_linear_chain_climate_scientist,linear_chain,sai_geoengineering,8,8,0.0,80,complete,continuous,T2c_H_linear_chain_climate_scientist_2026-09-19_02-53-23
T2c_H_linear_chain_climate_scientist,linear_chain,paris_agreement,2,1,0.0,80,complete,continuous,T2c_H_linear_chain_climate_scientist_2026-09-19_02-53-23
T2c_H_linear_chain_climate_scientist,linear_chain,climate_consensus,8,8,0.0,80,complete,continuous,T2c_H_linear_chain_climate_scientist_2026-09-19_02-53-23
T2c_H_linear_chain_climate_scientist,linear_chain,polar_bears,8,8,0.0,80,complete,continuous,T2c_H_linear_chain_climate_scientist_2026-09-19_02-53-23
T2c_H_linear_chain_conspiracy_believer,linear_chain,scopex_2017,8,8,1.5625,83,complete,continuous,T2c_H_linear_chain_conspiracy_believer_2026-09-19_02-49-25
T2c_H_linear_chain_conspiracy_believer,linear_chain,chemtrails_gates_2018_2021,6,5,3.0,83,complete,continuous,T2c_H_linear_chain_conspiracy_believer_2026-09-19_02-49-25
T2c_H_linear_chain_conspiracy_believer,linear_chain,sai_geoengineering,8,8,0.0,83,complete,continuous,T2c_H_linear_chain_conspiracy_believer_2026-09-19_02-49-25
T2c_H_linear_chain_conspiracy_believer,linear_chain,paris_agreement,8,8,4.75,83,complete,continuous,T2c_H_linear_chain_conspiracy_believer_2026-09-19_02-49-25
T2c_H_linear_chain_conspiracy_believer,linear_chain,climate_consensus,8,8,5.0,83,complete,continuous,T2c_H_linear_chain_conspiracy_believer_2026-09-19_02-49-25
T2c_H_linear_chain_conspiracy_believer,linear_chain,polar_bears,8,8,0.0,83,complete,continuous,T2c_H_linear_chain_conspiracy_believer_2026-09-19_02-49-25
T2c_H_linear_chain_conspiracy_climate_piggyback,linear_chain,scopex_2017,3,2,0.25,53,complete,continuous,T2c_H_linear_chain_conspiracy_climate_piggyback_2026-09-19_02-49-25
