runDir,experimentName,slice,arm,topology,rest,miScoringMode,articleId,status,llmCalls,nEvents,nScored,dead,meanMI,meanNodeMPR,maxMI,meanDiscreteMI,meanContinuousMI,meanDualGap,meanAgreement,kStarDiscrete,kStarContinuous,kStarCensoredDiscrete,hatchStatus,hatchNote
T2c_H_echo_chamber_biodiversity_food_security_2026-09-19_04-43-08,T2c_H_echo_chamber_biodiversity_food_security,T2c_H,H,echo_chamber,biodiversity_food_security,continuous,scopex_2017,complete,1076,161,141,false,0.0496,0.055,0.9999999999999998,,0.0496,,,,,false,live,
T2c_H_echo_chamber_biodiversity_food_security_2026-09-19_04-43-08,T2c_H_echo_chamber_biodiversity_food_security,T2c_H,H,echo_chamber,biodiversity_food_security,continuous,chemtrails_gates_2018_2021,complete,1076,167,142,false,1,1,0.9999999999999998,,1,,,,,false,live,
T2c_H_echo_chamber_biodiversity_food_security_2026-09-19_04-43-08,T2c_H_echo_chamber_biodiversity_food_security,T2c_H,H,echo_chamber,biodiversity_food_security,continuous,sai_geoengineering,complete,1076,149,122,false,0.1148,0.1183,1.5000000000000002,,0.1148,,,,,false,live,
T2c_H_echo_chamber_biodiversity_food_security_2026-09-19_04-43-08,T2c_H_echo_chamber_biodiversity_food_security,T2c_H,H,echo_chamber,biodiversity_food_security,continuous,paris_agreement,complete,1076,164,139,false,0.2209,0.2239,2,,0.2209,,,,,false,live,
T2c_H_echo_chamber_biodiversity_food_security_2026-09-19_04-43-08,T2c_H_echo_chamber_biodiversity_food_security,T2c_H,H,echo_chamber,biodiversity_food_security,continuous,climate_consensus,complete,1076,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_echo_chamber_biodiversity_food_security_2026-09-19_04-43-08,T2c_H_echo_chamber_biodiversity_food_security,T2c_H,H,echo_chamber,biodiversity_food_security,continuous,polar_bears,complete,1076,155,133,false,0,0,0,,0,,,,,false,live,
T2c_H_echo_chamber_climate_action_advocate_2026-09-19_04-30-38,T2c_H_echo_chamber_climate_action_advocate,T2c_H,H,echo_chamber,climate_action_advocate,continuous,scopex_2017,complete,38,167,8,false,0,0,0,,0,,,,,false,live,
T2c_H_echo_chamber_climate_action_advocate_2026-09-19_04-30-38,T2c_H_echo_chamber_climate_action_advocate,T2c_H,H,echo_chamber,climate_action_advocate,continuous,chemtrails_gates_2018_2021,complete,38,150,6,false,0.0833,0.0833,0.4999999999999999,,0.0833,,,,,false,live,
T2c_H_echo_chamber_climate_action_advocate_2026-09-19_04-30-38,T2c_H_echo_chamber_climate_action_advocate,T2c_H,H,echo_chamber,climate_action_advocate,continuous,sai_geoengineering,complete,38,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_echo_chamber_climate_action_advocate_2026-09-19_04-30-38,T2c_H_echo_chamber_climate_action_advocate,T2c_H,H,echo_chamber,climate_action_advocate,continuous,paris_agreement,complete,38,167,6,false,0,0,0,,0,,,,,false,live,
T2c_H_echo_chamber_climate_action_advocate_2026-09-19_04-30-38,T2c_H_echo_chamber_climate_action_advocate,T2c_H,H,echo_chamber,climate_action_advocate,continuous,climate_consensus,complete,38,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_echo_chamber_climate_action_advocate_2026-09-19_04-30-38,T2c_H_echo_chamber_climate_action_advocate,T2c_H,H,echo_chamber,climate_action_advocate,continuous,polar_bears,complete,38,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_echo_chamber_climate_justice_youth_2026-09-19_04-31-18,T2c_H_echo_chamber_climate_justice_youth,T2c_H,H,echo_chamber,climate_justice_youth,continuous,scopex_2017,complete,929,164,142,false,0.0176,0.0199,1.5000000000000002,,0.0176,,,,,false,live,
T2c_H_echo_chamber_climate_justice_youth_2026-09-19_04-31-18,T2c_H_echo_chamber_climate_justice_youth,T2c_H,H,echo_chamber,climate_justice_youth,continuous,chemtrails_gates_2018_2021,complete,929,161,136,false,0.0956,0.0913,0.9999999999999998,,0.0956,,,,,false,live,
T2c_H_echo_chamber_climate_justice_youth_2026-09-19_04-31-18,T2c_H_echo_chamber_climate_justice_youth,T2c_H,H,echo_chamber,climate_justice_youth,continuous,sai_geoengineering,complete,929,162,139,false,0.0468,0.0472,0.4999999999999999,,0.0468,,,,,false,live,
T2c_H_echo_chamber_climate_justice_youth_2026-09-19_04-31-18,T2c_H_echo_chamber_climate_justice_youth,T2c_H,H,echo_chamber,climate_justice_youth,continuous,paris_agreement,complete,929,159,134,false,0.0187,0.017,0.9999999999999998,,0.0187,,,,,false,live,
T2c_H_echo_chamber_climate_justice_youth_2026-09-19_04-31-18,T2c_H_echo_chamber_climate_justice_youth,T2c_H,H,echo_chamber,climate_justice_youth,continuous,climate_consensus,complete,929,147,125,false,0.056,0.0598,1.5000000000000002,,0.056,,,,,false,live,
T2c_H_echo_chamber_climate_justice_youth_2026-09-19_04-31-18,T2c_H_echo_chamber_climate_justice_youth,T2c_H,H,echo_chamber,climate_justice_youth,continuous,polar_bears,complete,929,152,114,false,0.0044,0.0042,0.4999999999999999,,0.0044,,,,,false,live,
T2c_H_echo_chamber_climate_scientist_2026-09-19_04-45-38,T2c_H_echo_chamber_climate_scientist,T2c_H,H,echo_chamber,climate_scientist,continuous,scopex_2017,complete,1122,154,139,false,0,0,0,,0,,,,,false,live,
T2c_H_echo_chamber_climate_scientist_2026-09-19_04-45-38,T2c_H_echo_chamber_climate_scientist,T2c_H,H,echo_chamber,climate_scientist,continuous,chemtrails_gates_2018_2021,complete,1122,166,147,false,0.0102,0.01,0.4999999999999999,,0.0102,,,,,false,live,
