runDir,experimentName,slice,arm,topology,rest,miScoringMode,articleId,status,llmCalls,nEvents,nScored,dead,meanMI,meanNodeMPR,maxMI,meanDiscreteMI,meanContinuousMI,meanDualGap,meanAgreement,kStarDiscrete,kStarContinuous,kStarCensoredDiscrete,hatchStatus,hatchNote
T2c_H_echo_chamber_biodiversity_food_security_2026-09-19_04-43-08,T2c_H_echo_chamber_biodiversity_food_security,T2c_H,H,echo_chamber,biodiversity_food_security,continuous,climate_consensus,complete,1076,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_echo_chamber_climate_action_advocate_2026-09-19_04-30-38,T2c_H_echo_chamber_climate_action_advocate,T2c_H,H,echo_chamber,climate_action_advocate,continuous,sai_geoengineering,complete,38,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_echo_chamber_climate_action_advocate_2026-09-19_04-30-38,T2c_H_echo_chamber_climate_action_advocate,T2c_H,H,echo_chamber,climate_action_advocate,continuous,climate_consensus,complete,38,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_echo_chamber_climate_action_advocate_2026-09-19_04-30-38,T2c_H_echo_chamber_climate_action_advocate,T2c_H,H,echo_chamber,climate_action_advocate,continuous,polar_bears,complete,38,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_echo_chamber_climate_scientist_2026-09-19_04-45-38,T2c_H_echo_chamber_climate_scientist,T2c_H,H,echo_chamber,climate_scientist,continuous,climate_consensus,complete,1122,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_echo_chamber_conspiracy_haarp_weather_2026-09-19_04-13-27,T2c_H_echo_chamber_conspiracy_haarp_weather,T2c_H,H,echo_chamber,conspiracy_haarp_weather,continuous,scopex_2017,complete,673,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_echo_chamber_ozone_stratosphere_specialist_2026-09-19_04-32-32,T2c_H_echo_chamber_ozone_stratosphere_specialist,T2c_H,H,echo_chamber,ozone_stratosphere_specialist,continuous,sai_geoengineering,complete,1053,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_echo_chamber_science_journalist_2026-09-19_04-45-58,T2c_H_echo_chamber_science_journalist,T2c_H,H,echo_chamber,science_journalist,continuous,sai_geoengineering,complete,880,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_echo_chamber_science_journalist_2026-09-19_04-45-58,T2c_H_echo_chamber_science_journalist,T2c_H,H,echo_chamber,science_journalist,continuous,polar_bears,complete,880,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_hierarchical_biodiversity_food_security_2026-09-19_04-31-12,T2c_H_hierarchical_biodiversity_food_security,T2c_H,H,hierarchical,biodiversity_food_security,continuous,sai_geoengineering,complete,45,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_hierarchical_climate_action_advocate_2026-09-19_04-26-01,T2c_H_hierarchical_climate_action_advocate,T2c_H,H,hierarchical,climate_action_advocate,continuous,scopex_2017,complete,143,71,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_hierarchical_climate_action_advocate_2026-09-19_04-26-01,T2c_H_hierarchical_climate_action_advocate,T2c_H,H,hierarchical,climate_action_advocate,continuous,paris_agreement,complete,143,75,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_hierarchical_climate_action_advocate_2026-09-19_04-26-01,T2c_H_hierarchical_climate_action_advocate,T2c_H,H,hierarchical,climate_action_advocate,continuous,climate_consensus,complete,143,72,1,true,0,0,0,,0,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_hierarchical_climate_justice_youth_2026-09-19_04-26-51,T2c_H_hierarchical_climate_justice_youth,T2c_H,H,hierarchical,climate_justice_youth,continuous,scopex_2017,complete,119,78,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_hierarchical_climate_justice_youth_2026-09-19_04-26-51,T2c_H_hierarchical_climate_justice_youth,T2c_H,H,hierarchical,climate_justice_youth,continuous,paris_agreement,complete,119,69,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_hierarchical_climate_scientist_2026-09-19_04-31-18,T2c_H_hierarchical_climate_scientist,T2c_H,H,hierarchical,climate_scientist,continuous,chemtrails_gates_2018_2021,complete,30,76,1,true,0,0,0,,0,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_hierarchical_climate_scientist_2026-09-19_04-31-18,T2c_H_hierarchical_climate_scientist,T2c_H,H,hierarchical,climate_scientist,continuous,sai_geoengineering,complete,30,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_hierarchical_climate_scientist_2026-09-19_04-31-18,T2c_H_hierarchical_climate_scientist,T2c_H,H,hierarchical,climate_scientist,continuous,climate_consensus,complete,30,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_hierarchical_conspiracy_climate_piggyback_2026-09-19_04-17-53,T2c_H_hierarchical_conspiracy_climate_piggyback,T2c_H,H,hierarchical,conspiracy_climate_piggyback,continuous,climate_consensus,complete,435,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_hierarchical_conspiracy_depopulation_2026-09-19_04-17-53,T2c_H_hierarchical_conspiracy_depopulation,T2c_H,H,hierarchical,conspiracy_depopulation,continuous,chemtrails_gates_2018_2021,complete,504,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_hierarchical_conspiracy_haarp_weather_2026-09-19_04-17-53,T2c_H_hierarchical_conspiracy_haarp_weather,T2c_H,H,hierarchical,conspiracy_haarp_weather,continuous,chemtrails_gates_2018_2021,complete,410,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_hierarchical_conspiracy_haarp_weather_2026-09-19_04-17-53,T2c_H_hierarchical_conspiracy_haarp_weather,T2c_H,H,hierarchical,conspiracy_haarp_weather,continuous,climate_consensus,complete,410,4,1,true,0,0,0,,0,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_hierarchical_environmental_concern_2026-09-19_04-28-19,T2c_H_hierarchical_environmental_concern,T2c_H,H,hierarchical,environmental_concern,continuous,chemtrails_gates_2018_2021,complete,67,64,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_hierarchical_mitigation_first_policy_2026-09-19_04-28-02,T2c_H_hierarchical_mitigation_first_policy,T2c_H,H,hierarchical,mitigation_first_policy,continuous,chemtrails_gates_2018_2021,complete,72,81,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_hierarchical_mitigation_first_policy_2026-09-19_04-28-02,T2c_H_hierarchical_mitigation_first_policy,T2c_H,H,hierarchical,mitigation_first_policy,continuous,sai_geoengineering,complete,72,82,1,true,0,0,0,,0,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_hierarchical_mitigation_first_policy_2026-09-19_04-28-02,T2c_H_hierarchical_mitigation_first_policy,T2c_H,H,hierarchical,mitigation_first_policy,continuous,climate_consensus,complete,72,75,1,true,0,0,0,,0,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_hierarchical_ozone_stratosphere_specialist_2026-09-19_04-31-07,T2c_H_hierarchical_ozone_stratosphere_specialist,T2c_H,H,hierarchical,ozone_stratosphere_specialist,continuous,scopex_2017,complete,30,43,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_hierarchical_ozone_stratosphere_specialist_2026-09-19_04-31-07,T2c_H_hierarchical_ozone_stratosphere_specialist,T2c_H,H,hierarchical,ozone_stratosphere_specialist,continuous,paris_agreement,complete,30,82,1,true,0,0,0,,0,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_hierarchical_ozone_stratosphere_specialist_2026-09-19_04-31-07,T2c_H_hierarchical_ozone_stratosphere_specialist,T2c_H,H,hierarchical,ozone_stratosphere_specialist,continuous,polar_bears,complete,30,67,1,true,0,0,0,,0,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_linear_chain_biodiversity_food_security_2026-09-19_02-52-45,T2c_H_linear_chain_biodiversity_food_security,T2c_H,H,linear_chain,biodiversity_food_security,continuous,climate_consensus,complete,61,2,1,true,0,0,0,,0,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_linear_chain_climate_justice_youth_2026-09-19_02-51-20,T2c_H_linear_chain_climate_justice_youth,T2c_H,H,linear_chain,climate_justice_youth,continuous,polar_bears,complete,66,2,1,true,0,0,0,,0,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_linear_chain_climate_scientist_2026-09-19_02-53-23,T2c_H_linear_chain_climate_scientist,T2c_H,H,linear_chain,climate_scientist,continuous,paris_agreement,complete,80,2,1,true,0,0,0,,0,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_linear_chain_conspiracy_climate_piggyback_2026-09-19_02-49-25,T2c_H_linear_chain_conspiracy_climate_piggyback,T2c_H,H,linear_chain,conspiracy_climate_piggyback,continuous,climate_consensus,complete,53,2,1,true,5,5,5,,5,,,,1,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_linear_chain_environmental_concern_2026-09-19_02-51-57,T2c_H_linear_chain_environmental_concern,T2c_H,H,linear_chain,environmental_concern,continuous,sai_geoengineering,complete,67,2,1,true,0,0,0,,0,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_linear_chain_mitigation_first_policy_2026-09-19_02-51-40,T2c_H_linear_chain_mitigation_first_policy,T2c_H,H,linear_chain,mitigation_first_policy,continuous,paris_agreement,complete,51,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_linear_chain_mitigation_first_policy_2026-09-19_02-51-40,T2c_H_linear_chain_mitigation_first_policy,T2c_H,H,linear_chain,mitigation_first_policy,continuous,polar_bears,complete,51,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_linear_chain_science_journalist_2026-09-19_02-53-41,T2c_H_linear_chain_science_journalist,T2c_H,H,linear_chain,science_journalist,continuous,paris_agreement,complete,45,2,1,true,0,0,0,,0,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_linear_chain_science_journalist_2026-09-19_02-53-41,T2c_H_linear_chain_science_journalist,T2c_H,H,linear_chain,science_journalist,continuous,climate_consensus,complete,45,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_linear_chain_science_journalist_2026-09-19_02-53-41,T2c_H_linear_chain_science_journalist,T2c_H,H,linear_chain,science_journalist,continuous,polar_bears,complete,45,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_polarized_biodiversity_food_security_2026-09-19_04-36-59,T2c_H_polarized_biodiversity_food_security,T2c_H,H,polarized,biodiversity_food_security,continuous,chemtrails_gates_2018_2021,complete,918,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_polarized_climate_action_advocate_2026-09-19_04-30-42,T2c_H_polarized_climate_action_advocate,T2c_H,H,polarized,climate_action_advocate,continuous,chemtrails_gates_2018_2021,complete,37,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_polarized_climate_scientist_2026-09-19_04-42-33,T2c_H_polarized_climate_scientist,T2c_H,H,polarized,climate_scientist,continuous,sai_geoengineering,complete,920,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_polarized_conspiracy_believer_2026-09-19_04-17-42,T2c_H_polarized_conspiracy_believer,T2c_H,H,polarized,conspiracy_believer,continuous,chemtrails_gates_2018_2021,complete,460,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
