slice,config,experimentName,persona_or_mix,articleId,topology,miScoringMode,numNodes,maxTicks,maxHops,nReplicates,status,dead,hatch,nScored,meanMI,meanNodeMPR,reason,runDir
T2c_H,thesisExperiment/configs/phase2/T2c_H_linear_chain_biodiversity_food_security.json,T2c_H_linear_chain_biodiversity_food_security,biodiversity_food_security,scopex_2017,linear_chain,continuous,8,8,8,1,blocked_no_openai_key,True,yes,0,,,OPENAI_API_KEY missing; cell not run; do not read as mix immunises or MI=0,
T2c_H,thesisExperiment/configs/phase2/T2c_H_linear_chain_biodiversity_food_security.json,T2c_H_linear_chain_biodiversity_food_security,biodiversity_food_security,chemtrails_gates_2018_2021,linear_chain,continuous,8,8,8,1,blocked_no_openai_key,True,yes,0,,,OPENAI_API_KEY missing; cell not run; do not read as mix immunises or MI=0,
T2c_H,thesisExperiment/configs/phase2/T2c_H_linear_chain_biodiversity_food_security.json,T2c_H_linear_chain_biodiversity_food_security,biodiversity_food_security,sai_geoengineering,linear_chain,continuous,8,8,8,1,blocked_no_openai_key,True,yes,0,,,OPENAI_API_KEY missing; cell not run; do not read as mix immunises or MI=0,
T2c_H,thesisExperiment/configs/phase2/T2c_H_linear_chain_biodiversity_food_security.json,T2c_H_linear_chain_biodiversity_food_security,biodiversity_food_security,paris_agreement,linear_chain,continuous,8,8,8,1,blocked_no_openai_key,True,yes,0,,,OPENAI_API_KEY missing; cell not run; do not read as mix immunises or MI=0,
T2c_H,thesisExperiment/configs/phase2/T2c_H_linear_chain_biodiversity_food_security.json,T2c_H_linear_chain_biodiversity_food_security,biodiversity_food_security,climate_consensus,linear_chain,continuous,8,8,8,1,blocked_no_openai_key,True,yes,0,,,OPENAI_API_KEY missing; cell not run; do not read as mix immunises or MI=0,
T2c_H,thesisExperiment/configs/phase2/T2c_H_linear_chain_biodiversity_food_security.json,T2c_H_linear_chain_biodiversity_food_security,biodiversity_food_security,polar_bears,linear_chain,continuous,8,8,8,1,blocked_no_openai_key,True,yes,0,,,OPENAI_API_KEY missing; cell not run; do not read as mix immunises or MI=0,
T2c_H,thesisExperiment/configs/phase2/T2c_H_linear_chain_climate_action_advocate.json,T2c_H_linear_chain_climate_action_advocate,climate_action_advocate,scopex_2017,linear_chain,continuous,8,8,8,1,blocked_no_openai_key,True,yes,0,,,OPENAI_API_KEY missing; cell not run; do not read as mix immunises or MI=0,
T2c_H,thesisExperiment/configs/phase2/T2c_H_linear_chain_climate_action_advocate.json,T2c_H_linear_chain_climate_action_advocate,climate_action_advocate,chemtrails_gates_2018_2021,linear_chain,continuous,8,8,8,1,blocked_no_openai_key,True,yes,0,,,OPENAI_API_KEY missing; cell not run; do not read as mix immunises or MI=0,
T2c_H,thesisExperiment/configs/phase2/T2c_H_linear_chain_climate_action_advocate.json,T2c_H_linear_chain_climate_action_advocate,climate_action_advocate,sai_geoengineering,linear_chain,continuous,8,8,8,1,blocked_no_openai_key,True,yes,0,,,OPENAI_API_KEY missing; cell not run; do not read as mix immunises or MI=0,
T2c_H,thesisExperiment/configs/phase2/T2c_H_linear_chain_climate_action_advocate.json,T2c_H_linear_chain_climate_action_advocate,climate_action_advocate,paris_agreement,linear_chain,continuous,8,8,8,1,blocked_no_openai_key,True,yes,0,,,OPENAI_API_KEY missing; cell not run; do not read as mix immunises or MI=0,
T2c_H,thesisExperiment/configs/phase2/T2c_H_linear_chain_climate_action_advocate.json,T2c_H_linear_chain_climate_action_advocate,climate_action_advocate,climate_consensus,linear_chain,continuous,8,8,8,1,blocked_no_openai_key,True,yes,0,,,OPENAI_API_KEY missing; cell not run; do not read as mix immunises or MI=0,
