runDir,experimentName,slice,arm,topology,rest,miScoringMode,articleId,status,llmCalls,nEvents,nScored,dead,meanMI,meanNodeMPR,maxMI,meanDiscreteMI,meanContinuousMI,meanDualGap,meanAgreement,kStarDiscrete,kStarContinuous,kStarCensoredDiscrete,hatchStatus,hatchNote
T2c_He_echo_chamber_mix_00_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_00,T2c_He,He,echo_chamber,mix_00,continuous,scopex_2017,complete,771,150,116,false,1.9267,1.8641,5,,1.9267,,,,,false,live,
T2c_He_echo_chamber_mix_00_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_00,T2c_He,He,echo_chamber,mix_00,continuous,chemtrails_gates_2018_2021,complete,771,152,106,false,2.3047,2.1131,5,,2.3047,,,,,false,live,
T2c_He_echo_chamber_mix_00_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_00,T2c_He,He,echo_chamber,mix_00,continuous,sai_geoengineering,complete,771,160,125,false,0.4952,0.4395,4,,0.4952,,,,,false,live,
T2c_He_echo_chamber_mix_00_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_00,T2c_He,He,echo_chamber,mix_00,continuous,paris_agreement,complete,771,148,65,false,3.1738,3.179,5,,3.1738,,,,,false,live,
T2c_He_echo_chamber_mix_00_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_00,T2c_He,He,echo_chamber,mix_00,continuous,climate_consensus,complete,771,157,14,false,3.7143,3.4048,5,,3.7143,,,,,false,live,
T2c_He_echo_chamber_mix_00_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_00,T2c_He,He,echo_chamber,mix_00,continuous,polar_bears,complete,771,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_He_echo_chamber_mix_01_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_01,T2c_He,He,echo_chamber,mix_01,continuous,scopex_2017,complete,726,150,112,false,2.4241,2.0678,5,,2.4241,,,,,false,live,
T2c_He_echo_chamber_mix_01_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_01,T2c_He,He,echo_chamber,mix_01,continuous,chemtrails_gates_2018_2021,complete,726,137,109,false,2.7578,2.5035,4,,2.7578,,,,,false,live,
T2c_He_echo_chamber_mix_01_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_01,T2c_He,He,echo_chamber,mix_01,continuous,sai_geoengineering,complete,726,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_He_echo_chamber_mix_01_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_01,T2c_He,He,echo_chamber,mix_01,continuous,paris_agreement,complete,726,158,125,false,2.9232,2.6605,5,,2.9232,,,,,false,live,
T2c_He_echo_chamber_mix_01_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_01,T2c_He,He,echo_chamber,mix_01,continuous,climate_consensus,complete,726,157,29,false,4.3276,3.8563,5,,4.3276,,,,3,false,live,
T2c_He_echo_chamber_mix_01_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_01,T2c_He,He,echo_chamber,mix_01,continuous,polar_bears,complete,726,151,9,false,0.0556,0.0333,0.4999999999999999,,0.0556,,,,,false,live,
T2c_He_echo_chamber_mix_02_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_02,T2c_He,He,echo_chamber,mix_02,continuous,scopex_2017,complete,597,149,111,false,0.0378,0.0483,2.5,,0.0378,,,,,false,live,
T2c_He_echo_chamber_mix_02_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_02,T2c_He,He,echo_chamber,mix_02,continuous,chemtrails_gates_2018_2021,complete,597,155,33,false,0.697,0.6871,0.9999999999999998,,0.697,,,,,false,live,
T2c_He_echo_chamber_mix_02_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_02,T2c_He,He,echo_chamber,mix_02,continuous,sai_geoengineering,complete,597,153,16,false,0,0,0,,0,,,,,false,live,
T2c_He_echo_chamber_mix_02_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_02,T2c_He,He,echo_chamber,mix_02,continuous,paris_agreement,complete,597,160,1,true,0,0,0,,0,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_He_echo_chamber_mix_02_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_02,T2c_He,He,echo_chamber,mix_02,continuous,climate_consensus,complete,597,142,8,false,0.25,0.2857,0.9999999999999998,,0.25,,,,,false,live,
T2c_He_echo_chamber_mix_02_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_02,T2c_He,He,echo_chamber,mix_02,continuous,polar_bears,complete,597,148,2,false,0,0,0,,0,,,,,false,live,
T2c_He_echo_chamber_mix_03_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_03,T2c_He,He,echo_chamber,mix_03,continuous,scopex_2017,complete,626,150,119,false,2.2134,2.0401,5,,2.2134,,,,,false,live,
T2c_He_echo_chamber_mix_03_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_03,T2c_He,He,echo_chamber,mix_03,continuous,chemtrails_gates_2018_2021,complete,626,157,53,false,2.6491,2.394,4,,2.6491,,,,,false,live,
T2c_He_echo_chamber_mix_03_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_03,T2c_He,He,echo_chamber,mix_03,continuous,sai_geoengineering,complete,626,148,11,false,0.7273,0.8571,3,,0.7273,,,,,false,live,
T2c_He_echo_chamber_mix_03_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_03,T2c_He,He,echo_chamber,mix_03,continuous,paris_agreement,complete,626,156,11,false,3.9273,3.828,5,,3.9273,,,,7,false,live,
T2c_He_echo_chamber_mix_03_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_03,T2c_He,He,echo_chamber,mix_03,continuous,climate_consensus,complete,626,155,4,false,5,5,5,,5,,,,6,false,live,
T2c_He_echo_chamber_mix_03_2026-09-19_04-13-27,T2c_He_echo_chamber_mix_03,T2c_He,He,echo_chamber,mix_03,continuous,polar_bears,complete,626,161,5,false,0,0,0,,0,,,,,false,live,
T2c_He_echo_chamber_mix_04_2026-09-19_04-30-04,T2c_He_echo_chamber_mix_04,T2c_He,He,echo_chamber,mix_04,continuous,scopex_2017,complete,57,145,10,false,0,0,0,,0,,,,,false,live,
T2c_He_echo_chamber_mix_04_2026-09-19_04-30-04,T2c_He_echo_chamber_mix_04,T2c_He,He,echo_chamber,mix_04,continuous,chemtrails_gates_2018_2021,complete,57,157,5,false,0.2,0.125,0.9999999999999998,,0.2,,,,,false,live,
T2c_He_echo_chamber_mix_04_2026-09-19_04-30-04,T2c_He_echo_chamber_mix_04,T2c_He,He,echo_chamber,mix_04,continuous,sai_geoengineering,complete,57,159,3,false,0.5,0.375,0.9999999999999998,,0.5,,,,,false,live,
T2c_He_echo_chamber_mix_04_2026-09-19_04-30-04,T2c_He_echo_chamber_mix_04,T2c_He,He,echo_chamber,mix_04,continuous,paris_agreement,complete,57,143,7,false,0.5714,0.6667,2,,0.5714,,,,,false,live,
T2c_He_echo_chamber_mix_04_2026-09-19_04-30-04,T2c_He_echo_chamber_mix_04,T2c_He,He,echo_chamber,mix_04,continuous,climate_consensus,complete,57,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_He_echo_chamber_mix_04_2026-09-19_04-30-04,T2c_He_echo_chamber_mix_04,T2c_He,He,echo_chamber,mix_04,continuous,polar_bears,complete,57,145,4,false,0,0,0,,0,,,,,false,live,
T2c_He_echo_chamber_mix_05_2026-09-19_04-30-13,T2c_He_echo_chamber_mix_05,T2c_He,He,echo_chamber,mix_05,continuous,scopex_2017,complete,176,147,10,false,0.3,0.2143,3,,0.3,,,,,false,live,
T2c_He_echo_chamber_mix_05_2026-09-19_04-30-13,T2c_He_echo_chamber_mix_05,T2c_He,He,echo_chamber,mix_05,continuous,chemtrails_gates_2018_2021,complete,176,153,2,false,1.25,1.25,2.5,,1.25,,,,,false,live,
T2c_He_echo_chamber_mix_05_2026-09-19_04-30-13,T2c_He_echo_chamber_mix_05,T2c_He,He,echo_chamber,mix_05,continuous,sai_geoengineering,complete,176,158,5,false,0,0,0,,0,,,,,false,live,
T2c_He_echo_chamber_mix_05_2026-09-19_04-30-13,T2c_He_echo_chamber_mix_05,T2c_He,He,echo_chamber,mix_05,continuous,paris_agreement,complete,176,158,8,false,0.875,1.1667,4,,0.875,,,,,false,live,
T2c_He_echo_chamber_mix_05_2026-09-19_04-30-13,T2c_He_echo_chamber_mix_05,T2c_He,He,echo_chamber,mix_05,continuous,climate_consensus,complete,176,147,9,false,0.7778,0.8571,5,,0.7778,,,,,false,live,
T2c_He_echo_chamber_mix_05_2026-09-19_04-30-13,T2c_He_echo_chamber_mix_05,T2c_He,He,echo_chamber,mix_05,continuous,polar_bears,complete,176,154,120,false,0,0,0,,0,,,,,false,live,
T2c_He_hierarchical_mix_00_2026-09-19_04-14-39,T2c_He_hierarchical_mix_00,T2c_He,He,hierarchical,mix_00,continuous,scopex_2017,complete,44,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_He_hierarchical_mix_00_2026-09-19_04-14-39,T2c_He_hierarchical_mix_00,T2c_He,He,hierarchical,mix_00,continuous,chemtrails_gates_2018_2021,complete,44,19,8,false,3.9625,3.9625,4,,3.9625,,,,1,false,live,
T2c_He_hierarchical_mix_00_2026-09-19_04-14-39,T2c_He_hierarchical_mix_00,T2c_He,He,hierarchical,mix_00,continuous,sai_geoengineering,complete,44,19,7,false,0.2857,0.2917,0.9999999999999998,,0.2857,,,,,false,live,
T2c_He_hierarchical_mix_00_2026-09-19_04-14-39,T2c_He_hierarchical_mix_00,T2c_He,He,hierarchical,mix_00,continuous,paris_agreement,complete,44,19,8,false,3.875,3.875,5,,3.875,,,,7,false,live,
T2c_He_hierarchical_mix_00_2026-09-19_04-14-39,T2c_He_hierarchical_mix_00,T2c_He,He,hierarchical,mix_00,continuous,climate_consensus,complete,44,6,2,false,5,5,5,,5,,,,1,false,live,
T2c_He_hierarchical_mix_00_2026-09-19_04-14-39,T2c_He_hierarchical_mix_00,T2c_He,He,hierarchical,mix_00,continuous,polar_bears,complete,44,11,4,false,0,0,0,,0,,,,,false,live,
T2c_He_hierarchical_mix_01_2026-09-19_04-14-39,T2c_He_hierarchical_mix_01,T2c_He,He,hierarchical,mix_01,continuous,scopex_2017,complete,39,9,3,false,0.1667,0.125,0.4999999999999999,,0.1667,,,,,false,live,
T2c_He_hierarchical_mix_01_2026-09-19_04-14-39,T2c_He_hierarchical_mix_01,T2c_He,He,hierarchical,mix_01,continuous,chemtrails_gates_2018_2021,complete,39,9,3,false,3.5667,3.55,4,,3.5667,,,,1,false,live,
T2c_He_hierarchical_mix_01_2026-09-19_04-14-39,T2c_He_hierarchical_mix_01,T2c_He,He,hierarchical,mix_01,continuous,sai_geoengineering,complete,39,19,8,false,0.5,0.5,1.5000000000000002,,0.5,,,,,false,live,
T2c_He_hierarchical_mix_01_2026-09-19_04-14-39,T2c_He_hierarchical_mix_01,T2c_He,He,hierarchical,mix_01,continuous,paris_agreement,complete,39,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
