experimentName,articleId,topology,meanDualGap,meanAgreement,meanDiscreteMI,meanContinuousMI
T2d_H_echo_chamber_biodiversity_food_security,scopex_2017,echo_chamber,,,,
T2d_H_echo_chamber_biodiversity_food_security,chemtrails_gates_2018_2021,echo_chamber,1,1,2,1
T2d_H_echo_chamber_biodiversity_food_security,sai_geoengineering,echo_chamber,1.0556,0.6021,1.0794,0.0238
T2d_H_echo_chamber_biodiversity_food_security,paris_agreement,echo_chamber,,,,
T2d_H_echo_chamber_biodiversity_food_security,climate_consensus,echo_chamber,1.5392,0.7503,1.9392,0.4338
T2d_H_echo_chamber_biodiversity_food_security,polar_bears,echo_chamber,0.609,,0.609,0
T2d_H_echo_chamber_climate_action_advocate,scopex_2017,echo_chamber,0.8014,0.375,0.8085,0.0071
T2d_H_echo_chamber_climate_action_advocate,chemtrails_gates_2018_2021,echo_chamber,,,,
T2d_H_echo_chamber_climate_action_advocate,sai_geoengineering,echo_chamber,2.0812,0.5982,2.7863,0.7308
T2d_H_echo_chamber_climate_action_advocate,paris_agreement,echo_chamber,0.0735,,0.0735,0
T2d_H_echo_chamber_climate_action_advocate,climate_consensus,echo_chamber,1.1589,0.7416,1.186,0.0426
T2d_H_echo_chamber_climate_action_advocate,polar_bears,echo_chamber,1.0966,,1.0966,0
T2d_H_echo_chamber_climate_justice_youth,scopex_2017,echo_chamber,2.292,0.5521,2.6788,0.4307
T2d_H_echo_chamber_climate_justice_youth,chemtrails_gates_2018_2021,echo_chamber,0.9161,0.9725,1.7483,0.8322
T2d_H_echo_chamber_climate_justice_youth,sai_geoengineering,echo_chamber,1.094,1,1.0977,0.0038
T2d_H_echo_chamber_climate_justice_youth,paris_agreement,echo_chamber,0.2748,,0.2748,0
T2d_H_echo_chamber_climate_justice_youth,climate_consensus,echo_chamber,1.6707,0.8938,1.9593,0.3049
T2d_H_echo_chamber_climate_justice_youth,polar_bears,echo_chamber,1.1259,0.6512,1.1888,0.0699
T2d_H_echo_chamber_climate_scientist,scopex_2017,echo_chamber,0.007,,0.007,0
T2d_H_echo_chamber_climate_scientist,chemtrails_gates_2018_2021,echo_chamber,0.0164,,0.0149,0.0015
T2d_H_echo_chamber_climate_scientist,sai_geoengineering,echo_chamber,1.0448,,1.0448,0
T2d_H_echo_chamber_climate_scientist,paris_agreement,echo_chamber,,,,
T2d_H_echo_chamber_climate_scientist,climate_consensus,echo_chamber,0.7333,,0.7333,0
T2d_H_echo_chamber_climate_scientist,polar_bears,echo_chamber,1.6324,,1.6324,0
T2d_H_echo_chamber_conspiracy_believer,scopex_2017,echo_chamber,2.2951,0.2265,4.1111,1.9688
T2d_H_echo_chamber_conspiracy_believer,chemtrails_gates_2018_2021,echo_chamber,,,,
T2d_H_echo_chamber_conspiracy_believer,sai_geoengineering,echo_chamber,1.5263,0.5468,2.3534,1.2406
T2d_H_echo_chamber_conspiracy_believer,paris_agreement,echo_chamber,0.577,-0.0797,4.5159,4.2325
T2d_H_echo_chamber_conspiracy_believer,climate_consensus,echo_chamber,0.0075,,4.9925,5
T2d_H_echo_chamber_conspiracy_believer,polar_bears,echo_chamber,0.8405,,1.3103,0.4698
T2d_H_echo_chamber_conspiracy_climate_piggyback,scopex_2017,echo_chamber,1.0376,0.5582,1.2707,0.5113
T2d_H_echo_chamber_conspiracy_climate_piggyback,chemtrails_gates_2018_2021,echo_chamber,1.0065,0.7872,3.6471,2.7516
T2d_H_echo_chamber_conspiracy_climate_piggyback,sai_geoengineering,echo_chamber,1.4987,0.5425,2.4631,1.1523
T2d_H_echo_chamber_conspiracy_climate_piggyback,paris_agreement,echo_chamber,0.9832,0.579,2.5035,1.8685
T2d_H_echo_chamber_conspiracy_climate_piggyback,climate_consensus,echo_chamber,0.0859,0.7889,4.7344,4.7266
T2d_H_echo_chamber_conspiracy_climate_piggyback,polar_bears,echo_chamber,0.386,0.6124,0.3897,0.0037
T2d_H_echo_chamber_conspiracy_depopulation,scopex_2017,echo_chamber,1.8701,0.0056,3.4488,1.9205
T2d_H_echo_chamber_conspiracy_depopulation,chemtrails_gates_2018_2021,echo_chamber,1.1846,0.6827,4.9371,3.7594
T2d_H_echo_chamber_conspiracy_depopulation,sai_geoengineering,echo_chamber,1.0741,0.5294,1.0963,0.1363
T2d_H_echo_chamber_conspiracy_depopulation,paris_agreement,echo_chamber,1.3566,-0.205,4.4476,3.5944
